"",BBK01.CEFL0N,BBK01.CEFL0N_FLAGS
"",Investment fund shares or units  debtor: Total                                           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:18,
1999-01,5.9,
1999-04,4.8,
1999-07,5.4,
1999-10,9.2,
2000-01,14.4,
2000-04,16.5,
2000-07,18.3,
2000-10,20.4,
2001-01,18.5,
2001-04,17.8,
2001-07,17.2,
2001-10,21.4,
2002-01,22.5,
2002-04,21.4,
2002-07,22.4,
2002-10,20.7,
2003-01,19.9,
2003-04,19.4,
2003-07,18.7,
2003-10,18.9,
2004-01,23.4,
2004-04,22.1,
2004-07,26.3,
2004-10,27.5,
2005-01,28.5,
2005-04,30.0,
2005-07,35.9,
2005-10,37.2,
2006-01,138.7,
2006-04,145.7,
2006-07,144.2,
2006-10,128.9,
2007-01,137.8,
2007-04,146.1,
2007-07,140.8,
2007-10,139.6,
2008-01,109.7,
2008-04,109.1,
2008-07,109.4,
2008-10,99.3,
2009-01,99.6,
2009-04,104.7,
2009-07,139.0,
2009-10,130.4,
2010-01,131.8,
2010-04,123.3,
2010-07,126.9,
2010-10,134.7,
2011-01,137.6,
2011-04,126.5,
2011-07,120.8,
2011-10,123.8,
2012-01,130.5,
2012-04,132.0,
2012-07,137.6,
2012-10,132.9,
2013-01,133.1,
2013-04,128.6,
2013-07,133.4,
2013-10,138.9,
2014-01,140.0,
2014-04,143.7,
2014-07,143.0,
