"",BBK01.OELI01K,BBK01.OELI01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:27,
2002-01,3.694,
2002-04,3.671,
2002-07,3.690,
2002-10,3.951,
2003-01,3.954,
2003-04,4.043,
2003-07,4.136,
2003-10,4.409,
2004-01,4.470,
2004-04,4.696,
2004-07,4.739,
2004-10,5.085,
2005-01,5.230,
2005-04,5.194,
2005-07,5.373,
2005-10,5.509,
2006-01,5.787,
2006-04,5.823,
2006-07,6.112,
2006-10,6.096,
2007-01,6.489,
2007-04,6.248,
2007-07,5.844,
2007-10,5.582,
2008-01,5.574,
2008-04,5.445,
2008-07,5.412,
2008-10,5.764,
2009-01,5.219,
2009-04,5.212,
2009-07,5.316,
2009-10,5.507,
2010-01,5.536,
2010-04,5.983,
2010-07,6.189,
2010-10,6.370,
2011-01,6.495,
2011-04,6.462,
2011-07,6.407,
2011-10,6.450,
2012-01,6.315,
2012-04,6.407,
2012-07,6.407,
2012-10,6.669,
2013-01,6.615,
2013-04,6.970,
2013-07,7.062,
2013-10,7.145,
2014-01,7.292,
2014-04,7.484,
2014-07,7.765,
