"",BBK01.PQN357,BBK01.PQN357_FLAGS
"",Lending to domestic enterprises / Long-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:49,
1968-10,3.278,
1969-01,3.321,
1969-04,3.342,
1969-07,3.506,
1969-10,3.510,
1970-01,3.574,
1970-04,3.563,
1970-07,3.668,
1970-10,3.879,
1971-01,3.971,
1971-04,4.052,
1971-07,4.176,
1971-10,4.199,
1972-01,4.265,
1972-04,4.329,
1972-07,4.390,
1972-10,4.605,
1973-01,4.785,
1973-04,4.732,
1973-07,4.826,
1973-10,4.909,
1974-01,5.051,
1974-04,5.130,
1974-07,5.255,
1974-10,5.328,
1975-01,5.465,
1975-04,5.549,
1975-07,5.790,
1975-10,5.859,
1976-01,5.911,
1976-04,6.085,
1976-07,6.289,
1976-10,6.332,
1977-01,6.525,
1977-04,6.470,
1977-07,6.642,
1977-10,6.808,
1978-01,6.860,
1978-04,6.943,
1978-07,7.169,
1978-10,7.318,
1979-01,7.439,
1979-04,7.537,
1979-07,7.671,
1979-10,7.820,
1980-01,7.990,
1980-04,8.036,
1980-07,8.231,
1980-10,8.474,
1981-01,8.704,
1981-04,8.872,
1981-07,9.178,
1981-10,9.420,
1982-01,9.564,
1982-04,9.597,
1982-07,9.718,
1982-10,10.060,
1983-01,10.176,
1983-04,10.149,
1983-07,10.364,
1983-10,10.559,
1984-01,10.759,
1984-04,10.929,
1984-07,11.219,
1984-10,11.547,
1985-01,11.718,
1985-04,11.872,
1985-07,12.113,
1985-10,12.936,
1986-01,13.125,
1986-04,13.618,
1986-07,14.231,
1986-10,14.808,
1987-01,15.008,
1987-04,15.270,
1987-07,15.624,
1987-10,15.815,
1988-01,15.817,
1988-04,16.015,
1988-07,16.598,
1988-10,16.764,
1989-01,17.096,
1989-04,17.344,
1989-07,17.722,
1989-10,18.477,
1990-01,18.871,
1990-04,19.371,
1990-07,19.821,
1990-10,20.426,
1991-01,20.963,
1991-04,21.428,
1991-07,22.806,
1991-10,24.019,
1992-01,39.569,
1992-04,40.456,
1992-07,41.424,
1992-10,43.018,
1993-01,71.773,
1993-04,71.079,
1993-07,70.989,
1993-10,73.808,
1994-01,72.969,
1994-04,72.720,
1994-07,69.893,
1994-10,45.696,
1995-01,40.097,
1995-04,29.498,
1995-07,30.369,
1995-10,30.719,
1996-01,30.777,
1996-04,34.623,
1996-07,35.743,
1996-10,36.622,
1997-01,37.065,
1997-04,37.361,
1997-07,38.146,
1997-10,39.803,
1998-01,39.768,
1998-04,39.086,
1998-07,41.361,
1998-10,44.258,
1999-01,38.580,
1999-04,39.259,
1999-07,40.025,
1999-10,41.306,
2000-01,42.102,
2000-04,38.946,
2000-07,39.816,
2000-10,40.806,
2001-01,41.733,
2001-04,42.179,
2001-07,43.184,
2001-10,44.103,
2002-01,44.229,
2002-04,44.005,
2002-07,44.257,
2002-10,44.072,
2003-01,44.362,
2003-04,45.721,
2003-07,46.344,
2003-10,46.489,
2004-01,46.338,
2004-04,46.565,
2004-07,55.396,
2004-10,57.120,
2005-01,56.764,
2005-04,57.755,
2005-07,56.621,
2005-10,56.616,
2006-01,65.068,
2006-04,64.999,
2006-07,64.883,
2006-10,65.504,
2007-01,65.068,
2007-04,64.979,
2007-07,65.589,
2007-10,65.581,
2008-01,65.380,
2008-04,65.339,
2008-07,65.567,
2008-10,68.229,
2009-01,67.758,
2009-04,67.274,
2009-07,68.961,
2009-10,69.605,
2010-01,69.310,
2010-04,69.673,
2010-07,69.855,
2010-10,70.440,
2011-01,70.309,
2011-04,70.558,
2011-07,70.214,
2011-10,70.267,
2012-01,70.478,
2012-04,70.355,
2012-07,70.258,
2012-10,69.272,
2013-01,69.249,
2013-04,69.722,
2013-07,69.218,
2013-10,71.663,
2014-01,70.461,
2014-04,69.858,
2014-07,69.414,
2014-10,67.944,
