"",BBK01.OEAA37K,BBK01.OEAA37K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:08,
2002-01,41.126,
2002-04,41.279,
2002-07,42.682,
2002-10,43.240,
2003-01,42.109,
2003-04,38.377,
2003-07,39.725,
2003-10,39.053,
2004-01,40.864,
2004-04,41.800,
2004-07,42.292,
2004-10,43.547,
2005-01,42.991,
2005-04,43.089,
2005-07,43.276,
2005-10,43.219,
2006-01,42.739,
2006-04,42.528,
2006-07,42.165,
2006-10,41.892,
2007-01,40.344,
2007-04,40.005,
2007-07,38.890,
2007-10,38.071,
2008-01,37.551,
2008-04,37.290,
2008-07,36.873,
2008-10,36.739,
2009-01,36.165,
2009-04,37.184,
2009-07,37.151,
2009-10,36.457,
2010-01,35.863,
2010-04,34.245,
2010-07,34.157,
2010-10,34.152,
2011-01,33.461,
2011-04,33.228,
2011-07,33.107,
2011-10,33.062,
2012-01,32.739,
2012-04,32.512,
2012-07,32.357,
2012-10,32.063,
2013-01,31.826,
2013-04,31.713,
2013-07,31.175,
2013-10,30.809,
2014-01,30.637,
2014-04,30.376,
2014-07,30.313,
