"",BBFB1.Q.N.DE.D09.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:07,
1991-01,133.686,
1991-04,162.118,
1991-07,159.666,
1991-10,221.088,
1992-01,143.155,
1992-04,155.786,
1992-07,161.073,
1992-10,180.225,
1993-01,161.708,
1993-04,145.803,
1993-07,156.235,
1993-10,159.360,
1994-01,139.992,
1994-04,133.810,
1994-07,155.951,
1994-10,147.199,
1995-01,39.844,
1995-04,48.125,
1995-07,46.920,
1995-10,89.191,
1996-01,19.331,
1996-04,18.918,
1996-07,19.338,
1996-10,19.274,
1997-01,19.277,
1997-04,19.394,
1997-07,21.293,
1997-10,23.153,
1998-01,22.485,
1998-04,20.388,
1998-07,20.643,
1998-10,23.542,
1999-01,14.231,
1999-04,16.536,
1999-07,14.630,
1999-10,19.135,
2000-01,17.098,
2000-04,19.513,
2000-07,19.793,
2000-10,24.121,
2001-01,14.845,
2001-04,13.743,
2001-07,23.731,
2001-10,19.812,
2002-01,15.502,
2002-04,24.141,
2002-07,20.563,
2002-10,21.837,
2003-01,17.482,
2003-04,20.575,
2003-07,16.432,
2003-10,24.459,
2004-01,14.324,
2004-04,21.044,
2004-07,29.170,
2004-10,21.973,
2005-01,14.045,
2005-04,12.482,
2005-07,12.585,
2005-10,12.982,
2006-01,9.362,
2006-04,13.941,
2006-07,10.083,
2006-10,15.836,
2007-01,10.169,
2007-04,12.084,
2007-07,11.658,
2007-10,14.974,
2008-01,13.283,
2008-04,14.981,
2008-07,11.705,
2008-10,13.733,
2009-01,7.844,
2009-04,9.333,
2009-07,9.340,
2009-10,12.558,
2010-01,14.512,
2010-04,13.589,
2010-07,14.107,
2010-10,19.663,
2011-01,9.090,
2011-04,11.501,
2011-07,11.772,
2011-10,27.526,
2012-01,8.262,
2012-04,10.009,
2012-07,28.349,
2012-10,44.206,
2013-01,14.964,
2013-04,47.627,
2013-07,554.433,
2013-10,599.959,
2014-01,415.052,
2014-04,432.204,
2014-07,425.643,
