"",BBK01.CELP20,BBK01.CELP20_FLAGS
"",Time deposits                                                    debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:53,
1999-01,-40.3,
1999-04,34.0,
1999-07,84.3,
1999-10,104.3,
2000-01,14.3,
2000-04,-0.6,
2000-07,31.7,
2000-10,132.2,
2001-01,51.5,
2001-04,-13.4,
2001-07,12.7,
2001-10,32.3,
2002-01,-68.4,
2002-04,-7.6,
2002-07,24.5,
2002-10,97.3,
2003-01,-36.7,
2003-04,5.5,
2003-07,-31.8,
2003-10,75.8,
2004-01,-70.3,
2004-04,27.1,
2004-07,20.3,
2004-10,122.2,
2005-01,-63.5,
2005-04,11.4,
2005-07,31.6,
2005-10,40.3,
2006-01,22.2,
2006-04,17.2,
2006-07,42.6,
2006-10,47.5,
2007-01,32.5,
2007-04,15.8,
2007-07,120.9,
2007-10,202.2,
2008-01,-58.0,
2008-04,35.8,
2008-07,134.8,
2008-10,12.8,
2009-01,-258.6,
2009-04,12.4,
2009-07,-174.8,
2009-10,-74.3,
2010-01,-79.5,
2010-04,34.8,
2010-07,-107.3,
2010-10,40.8,
2011-01,-102.4,
2011-04,-28.9,
2011-07,57.2,
2011-10,21.2,
2012-01,77.8,
2012-04,-40.6,
2012-07,-84.5,
2012-10,-143.6,
2013-01,-52.6,
2013-04,-39.9,
2013-07,-101.3,
2013-10,-14.0,
2014-01,-29.0,
2014-04,-34.8,
2014-07,1.0,
