"",BBK01.OEAC12Q,BBK01.OEAC12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:51,
2002-01,9.263,
2002-04,9.347,
2002-07,9.031,
2002-10,9.060,
2003-01,8.998,
2003-04,10.487,
2003-07,11.961,
2003-10,11.996,
2004-01,11.045,
2004-04,7.769,
2004-07,7.981,
2004-10,7.894,
2005-01,7.670,
2005-04,7.648,
2005-07,7.690,
2005-10,7.604,
2006-01,7.613,
2006-04,8.366,
2006-07,7.905,
2006-10,8.209,
2007-01,8.146,
2007-04,7.711,
2007-07,5.997,
2007-10,6.022,
2008-01,6.138,
2008-04,6.104,
2008-07,6.201,
2008-10,6.233,
2009-01,6.240,
2009-04,6.542,
2009-07,6.541,
2009-10,6.440,
2010-01,6.843,
2010-04,6.773,
2010-07,7.596,
2010-10,7.650,
2011-01,7.461,
2011-04,7.390,
2011-07,7.239,
2011-10,7.335,
2012-01,7.303,
2012-04,7.541,
2012-07,7.513,
2012-10,7.573,
2013-01,7.558,
2013-04,7.380,
2013-07,7.419,
2013-10,7.440,
2014-01,7.386,
2014-04,7.368,
2014-07,7.482,
