"",BBK01.BJ8067,BBK01.BJ8067_FLAGS
"",General government debt as defined in the Maastricht Treaty as a % of GDP - Germany - local government,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:19,
1991,4.9,
1992,5.0,
1993,5.3,
1994,5.5,
1995,5.6,
1996,5.6,
1997,5.5,
1998,5.4,
1999,5.3,
2000,5.1,
2001,5.0,
2002,5.0,
2003,5.3,
2004,5.3,
2005,5.4,
2006,5.3,
2007,5.0,
2008,4.9,
2009,5.4,
2010,5.3,Provisional value
2011,5.3,Provisional value
2012,5.3,Provisional value
2013,5.3,Provisional value
