"",BBK01.OEAD16L,BBK01.OEAD16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:56,
2002-01,2.018,
2002-04,1.928,
2002-07,1.855,
2002-10,1.496,
2003-01,1.508,
2003-04,1.701,
2003-07,1.638,
2003-10,1.724,
2004-01,1.670,
2004-04,1.568,
2004-07,1.685,
2004-10,1.423,
2005-01,1.364,
2005-04,1.463,
2005-07,2.650,
2005-10,1.225,
2006-01,1.316,
2006-04,1.403,
2006-07,1.483,
2006-10,1.331,
2007-01,1.275,
2007-04,1.696,
2007-07,1.620,
2007-10,1.594,
2008-01,3.365,
2008-04,3.431,
2008-07,3.229,
2008-10,3.212,
2009-01,3.390,
2009-04,3.241,
2009-07,2.990,
2009-10,1.568,
2010-01,1.446,
2010-04,1.265,
2010-07,1.168,
2010-10,1.415,
2011-01,1.745,
2011-04,0.830,
2011-07,1.128,
2011-10,0.978,
2012-01,0.997,
2012-04,1.102,
2012-07,1.010,
2012-10,1.125,
2013-01,1.264,
2013-04,1.187,
2013-07,1.092,
2013-10,0.975,
2014-01,1.106,
2014-04,1.252,
2014-07,1.010,
