"",BBK01.OECJ05M,BBK01.OECJ05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:37,
2002-01,0.143,
2002-04,0.141,
2002-07,0.137,
2002-10,0.126,
2003-01,0.113,
2003-04,0.112,
2003-07,0.109,
2003-10,0.104,
2004-01,0.102,
2004-04,0.103,
2004-07,0.100,
2004-10,0.123,
2005-01,0.271,
2005-04,0.259,
2005-07,0.265,
2005-10,0.266,
2006-01,0.264,
2006-04,0.336,
2006-07,0.341,
2006-10,0.339,
2007-01,0.329,
2007-04,0.362,
2007-07,0.422,
2007-10,0.699,
2008-01,0.714,
2008-04,0.700,
2008-07,0.750,
2008-10,0.771,
2009-01,0.768,
2009-04,0.815,
2009-07,0.812,
2009-10,0.786,
2010-01,0.789,
2010-04,0.757,
2010-07,0.743,
2010-10,0.726,
2011-01,0.728,
2011-04,0.762,
2011-07,0.749,
2011-10,0.702,
2012-01,0.765,
2012-04,0.817,
2012-07,0.796,
2012-10,0.796,
2013-01,0.796,
2013-04,0.793,
2013-07,0.786,
2013-10,0.766,
2014-01,0.737,
2014-04,0.622,
2014-07,0.625,
