"",BBK01.OEAH09V,BBK01.OEAH09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:49,
2002-01,0.824,
2002-04,0.816,
2002-07,0.788,
2002-10,0.755,
2003-01,0.718,
2003-04,0.648,
2003-07,0.611,
2003-10,0.588,
2004-01,0.551,
2004-04,0.492,
2004-07,0.445,
2004-10,0.393,
2005-01,0.373,
2005-04,0.359,
2005-07,0.349,
2005-10,0.403,
2006-01,0.456,
2006-04,0.506,
2006-07,0.569,
2006-10,0.674,
2007-01,0.787,
2007-04,0.936,
2007-07,1.019,
2007-10,1.159,
2008-01,1.302,
2008-04,1.480,
2008-07,1.659,
2008-10,1.830,
2009-01,1.619,
2009-04,1.275,
2009-07,0.968,
2009-10,0.735,
2010-01,0.554,
2010-04,0.483,
2010-07,0.444,
2010-10,0.414,
2011-01,0.438,
2011-04,0.457,
2011-07,0.471,
2011-10,0.477,
2012-01,0.441,
2012-04,0.414,
2012-07,0.356,
2012-10,0.361,
2013-01,0.325,
2013-04,0.313,
2013-07,0.305,
2013-10,0.322,
2014-01,0.328,
2014-04,0.327,
2014-07,0.332,
