"",BBK01.OEAC58I,BBK01.OEAC58I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:54,
2002-01,7.682,
2002-04,7.723,
2002-07,7.750,
2002-10,7.696,
2003-01,7.713,
2003-04,7.630,
2003-07,6.961,
2003-10,5.968,
2004-01,5.935,
2004-04,5.842,
2004-07,5.698,
2004-10,5.755,
2005-01,5.425,
2005-04,5.233,
2005-07,4.494,
2005-10,4.346,
2006-01,4.285,
2006-04,4.321,
2006-07,4.365,
2006-10,4.399,
2007-01,4.553,
2007-04,4.538,
2007-07,4.611,
2007-10,4.356,
2008-01,3.975,
2008-04,3.798,
2008-07,3.948,
2008-10,3.982,
2009-01,3.897,
2009-04,3.812,
2009-07,4.672,
2009-10,4.778,
2010-01,4.437,
2010-04,3.954,
2010-07,4.124,
2010-10,4.375,
2011-01,4.253,
2011-04,3.821,
2011-07,4.325,
2011-10,4.506,
2012-01,4.412,
2012-04,4.705,
2012-07,4.616,
2012-10,4.532,
2013-01,4.515,
2013-04,4.409,
2013-07,4.409,
2013-10,5.653,
2014-01,5.611,
2014-04,5.486,
2014-07,5.640,
