"",BBK01.OEAC18U,BBK01.OEAC18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:36,
2002-01,0.036,
2002-04,0.033,
2002-07,0.024,
2002-10,0.028,
2003-01,0.021,
2003-04,0.031,
2003-07,0.014,
2003-10,0.020,
2004-01,0.028,
2004-04,0.016,
2004-07,0.018,
2004-10,0.011,
2005-01,0.031,
2005-04,0.034,
2005-07,0.017,
2005-10,0.025,
2006-01,0.028,
2006-04,0.028,
2006-07,0.027,
2006-10,0.052,
2007-01,0.045,
2007-04,0.039,
2007-07,0.040,
2007-10,0.070,
2008-01,0.076,
2008-04,0.055,
2008-07,0.047,
2008-10,0.086,
2009-01,0.079,
2009-04,0.057,
2009-07,0.060,
2009-10,0.058,
2010-01,0.057,
2010-04,0.075,
2010-07,0.061,
2010-10,0.044,
2011-01,0.041,
2011-04,0.046,
2011-07,0.049,
2011-10,0.050,
2012-01,0.065,
2012-04,0.067,
2012-07,0.056,
2012-10,0.056,
2013-01,0.064,
2013-04,0.075,
2013-07,0.059,
2013-10,0.057,
2014-01,0.049,
2014-04,0.055,
2014-07,0.043,
