"",BBK01.OELB08V,BBK01.OELB08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:53,
2002-01,2.943,
2002-04,2.960,
2002-07,2.954,
2002-10,2.994,
2003-01,3.000,
2003-04,3.009,
2003-07,3.067,
2003-10,3.058,
2004-01,3.033,
2004-04,3.039,
2004-07,3.039,
2004-10,3.151,
2005-01,3.119,
2005-04,3.130,
2005-07,3.150,
2005-10,3.188,
2006-01,3.163,
2006-04,3.181,
2006-07,3.189,
2006-10,3.114,
2007-01,3.107,
2007-04,3.124,
2007-07,3.158,
2007-10,3.179,
2008-01,3.181,
2008-04,3.217,
2008-07,3.278,
2008-10,3.315,
2009-01,3.310,
2009-04,3.346,
2009-07,3.348,
2009-10,3.403,
2010-01,3.447,
2010-04,3.432,
2010-07,3.511,
2010-10,3.454,
2011-01,3.486,
2011-04,3.650,
2011-07,3.728,
2011-10,3.834,
2012-01,3.888,
2012-04,5.226,
2012-07,5.330,
2012-10,5.430,
2013-01,5.478,
2013-04,5.569,
2013-07,5.681,
2013-10,5.762,
2014-01,5.817,
2014-04,5.905,
2014-07,6.088,
