"",BBK01.OEHO04J,BBK01.OEHO04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:24,
2002-01,-0.001,
2002-04,-0.017,
2002-07,0.022,
2002-10,0.023,
2003-01,0.054,
2003-04,0.013,
2003-07,0.006,
2003-10,0.007,
2004-01,0.061,
2004-04,0.037,
2004-07,0.036,
2004-10,0.069,
2005-01,0.040,
2005-04,0.020,
2005-07,0.004,
2005-10,0.025,
2006-01,0.009,
2006-04,-0.030,
2006-07,-0.015,
2006-10,-0.114,
2007-01,-0.121,
2007-04,-0.045,
2007-07,-0.109,
2007-10,-0.124,
2008-01,-0.164,
2008-04,-0.183,
2008-07,-0.164,
2008-10,-0.045,
2009-01,0.041,
2009-04,-0.069,
2009-07,-0.072,
2009-10,-0.061,
2010-01,-0.037,
2010-04,-0.055,
2010-07,-0.051,
2010-10,-0.066,
2011-01,-0.043,
2011-04,-0.032,
2011-07,-0.034,
2011-10,-0.023,
2012-01,0.015,
2012-04,0.010,
2012-07,0.021,
2012-10,0.011,
2013-01,0.047,
2013-04,-0.003,
2013-07,0.019,
2013-10,0.014,
2014-01,0.019,
2014-04,-0.003,
2014-07,-0.025,
