"",BBK01.CEFF05,BBK01.CEFF05_FLAGS
"",long-term loans                                            debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:41,
1999-01,15.0,
1999-04,23.4,
1999-07,20.2,
1999-10,22.2,
2000-01,20.8,
2000-04,26.1,
2000-07,23.6,
2000-10,27.7,
2001-01,29.8,
2001-04,28.0,
2001-07,32.6,
2001-10,32.8,
2002-01,33.6,
2002-04,29.9,
2002-07,28.7,
2002-10,30.5,
2003-01,33.6,
2003-04,34.4,
2003-07,33.8,
2003-10,33.1,
2004-01,34.6,
2004-04,36.8,
2004-07,38.1,
2004-10,38.0,
2005-01,39.0,
2005-04,42.4,
2005-07,42.5,
2005-10,41.9,
2006-01,43.9,
2006-04,44.9,
2006-07,44.0,
2006-10,46.3,
2007-01,49.1,
2007-04,55.4,
2007-07,55.8,
2007-10,48.1,
2008-01,51.6,
2008-04,53.7,
2008-07,55.3,
2008-10,53.3,
2009-01,56.5,
2009-04,58.8,
2009-07,59.0,
2009-10,63.2,
2010-01,65.5,
2010-04,67.1,
2010-07,67.4,
2010-10,68.1,
2011-01,69.6,
2011-04,70.5,
2011-07,72.1,
2011-10,75.5,
2012-01,79.0,
2012-04,80.6,
2012-07,85.2,
2012-10,90.8,
2013-01,97.4,
2013-04,103.9,
2013-07,104.8,
2013-10,101.6,
2014-01,101.8,
2014-04,104.2,
2014-07,107.5,
