"",BBK01.OEXM03K,BBK01.OEXM03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:42,
2002-01,0.493,
2002-04,0.481,
2002-07,0.491,
2002-10,0.515,
2003-01,0.549,
2003-04,0.368,
2003-07,0.470,
2003-10,0.481,
2004-01,0.668,
2004-04,0.709,
2004-07,0.817,
2004-10,0.332,
2005-01,0.390,
2005-04,0.381,
2005-07,0.327,
2005-10,0.329,
2006-01,0.375,
2006-04,0.397,
2006-07,0.430,
2006-10,0.430,
2007-01,0.424,
2007-04,0.440,
2007-07,0.308,
2007-10,0.367,
2008-01,0.336,
2008-04,0.379,
2008-07,0.374,
2008-10,0.313,
2009-01,0.353,
2009-04,0.402,
2009-07,0.326,
2009-10,0.402,
2010-01,0.394,
2010-04,0.339,
2010-07,0.327,
2010-10,0.311,
2011-01,0.315,
2011-04,0.352,
2011-07,0.376,
2011-10,0.440,
2012-01,0.373,
2012-04,0.441,
2012-07,0.383,
2012-10,0.399,
2013-01,0.830,
2013-04,0.948,
2013-07,0.800,
2013-10,0.783,
2014-01,0.511,
2014-04,0.832,
2014-07,0.800,
