"",BBK01.OECM08H,BBK01.OECM08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:06,
2002-01,0.008,
2002-04,0.008,
2002-07,0.012,
2002-10,0.016,
2003-01,0.024,
2003-04,0.014,
2003-07,0.129,
2003-10,0.123,
2004-01,0.220,
2004-04,0.271,
2004-07,0.353,
2004-10,0.519,
2005-01,0.397,
2005-04,0.502,
2005-07,0.804,
2005-10,0.249,
2006-01,0.184,
2006-04,0.248,
2006-07,0.312,
2006-10,0.166,
2007-01,0.271,
2007-04,0.122,
2007-07,0.015,
2007-10,0.013,
2008-01,0.011,
2008-04,0.005,
2008-07,0.004,
2008-10,0.004,
2009-01,0.015,
2009-04,0.028,
2009-07,0.077,
2009-10,0.101,
2010-01,0.108,
2010-04,0.144,
2010-07,0.161,
2010-10,0.143,
2011-01,0.163,
2011-04,0.094,
2011-07,0.048,
2011-10,0.032,
2012-01,0.041,
2012-04,0.048,
2012-07,0.115,
2012-10,0.119,
2013-01,0.129,
2013-04,0.138,
2013-07,0.136,
2013-10,0.126,
2014-01,0.112,
2014-04,0.109,
2014-07,0.099,
