"",BBFN1.M.DE.N.1.L.RU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.RU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Russian Federation,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:20,
1994-07,0.425,
1994-08,0.412,
1994-09,0.400,
1994-10,0.418,
1994-11,0.555,
1994-12,0.533,
1995-01,0.537,
1995-02,0.547,
1995-03,0.435,
1995-04,0.503,
1995-05,0.515,
1995-06,0.501,
1995-07,0.497,
1995-08,0.485,
1995-09,0.485,
1995-10,0.468,
1995-11,0.489,
1995-12,0.460,
1996-01,0.500,
1996-02,0.399,
1996-03,0.354,
1996-04,0.319,
1996-05,0.356,
1996-06,0.399,
1996-07,0.452,
1996-08,0.410,
1996-09,0.370,
1996-10,0.363,
1996-11,0.491,
1996-12,0.374,
1997-01,0.348,
1997-02,0.358,
1997-03,0.375,
1997-04,0.349,
1997-05,0.456,
1997-06,0.397,
1997-07,0.377,
1997-08,0.367,
1997-09,0.441,
1997-10,0.390,
1997-11,0.497,
1997-12,0.393,
1998-01,0.479,
1998-02,0.437,
1998-03,0.423,
1998-04,0.305,
1998-05,0.344,
1998-06,0.556,
1998-07,0.399,
1998-08,0.289,
1998-09,0.324,
1998-10,0.493,
1998-11,0.451,
1998-12,0.411,
1999-01,0.433,
1999-02,0.409,
1999-03,0.266,
1999-04,0.340,
1999-05,0.362,
1999-06,0.270,
1999-07,0.371,
1999-08,0.292,
1999-09,0.344,
1999-10,0.423,
1999-11,0.428,
1999-12,0.493,
2000-01,0.496,
2000-02,0.485,
2000-03,0.393,
2000-04,0.319,
2000-05,0.404,
2000-06,0.460,
2000-07,0.482,
2000-08,0.473,
2000-09,0.658,
2000-10,0.625,
2000-11,0.557,
2000-12,0.777,
2001-01,0.915,
2001-02,0.869,
2001-03,0.747,
2001-04,0.589,
2001-05,0.508,
2001-06,0.574,
2001-07,0.708,
2001-08,0.549,
2001-09,0.598,
2001-10,0.562,
2001-11,0.754,
2001-12,0.780,
2002-01,0.528,
2002-02,0.614,
2002-03,0.597,
2002-04,0.604,
2002-05,0.378,
2002-06,0.412,
2002-07,0.444,
2002-08,0.741,
2002-09,0.847,
2002-10,1.072,
2002-11,1.054,
2002-12,0.837,
2003-01,0.682,
2003-02,0.757,
2003-03,0.616,
2003-04,0.638,
2003-05,0.947,
2003-06,0.946,
2003-07,0.913,
2003-08,0.939,
2003-09,0.957,
2003-10,1.294,
2003-11,0.975,
2003-12,1.102,
2004-01,1.003,
2004-02,1.000,
2004-03,0.758,
2004-04,0.941,
2004-05,1.194,
2004-06,0.785,
2004-07,0.731,
2004-08,0.740,
2004-09,0.860,
2004-10,0.835,
2004-11,0.662,
2004-12,0.870,
2005-01,1.075,
2005-02,0.892,
2005-03,0.791,
2005-04,1.033,
2005-05,0.625,
2005-06,0.840,
2005-07,1.245,
2005-08,0.970,
2005-09,0.979,
2005-10,0.836,
2005-11,0.824,
2005-12,1.211,
2006-01,1.554,
2006-02,1.456,
2006-03,1.415,
2006-04,1.109,
2006-05,0.894,
2006-06,0.681,
2006-07,0.687,
2006-08,0.692,
2006-09,0.962,
2006-10,0.718,
2006-11,0.556,
2006-12,1.118,
2007-01,1.271,
2007-02,0.779,
2007-03,0.719,
2007-04,0.749,
2007-05,0.899,
2007-06,1.062,
2007-07,0.986,
2007-08,1.008,
2007-09,1.202,
2007-10,0.739,
2007-11,0.597,
2007-12,1.030,
2008-01,1.435,
2008-02,1.056,
2008-03,0.929,
2008-04,0.938,
2008-05,0.956,
2008-06,0.940,
2008-07,0.785,
2008-08,1.360,
2008-09,0.458,
2008-10,0.702,
2008-11,1.041,
2008-12,0.551,
2009-01,0.701,
2009-02,0.813,
2009-03,0.727,
2009-04,0.346,
2009-05,0.548,
2009-06,0.706,
2009-07,0.659,
2009-08,0.597,
2009-09,0.663,
2009-10,0.414,
2009-11,0.799,
2009-12,0.996,
2010-01,0.879,
2010-02,1.071,
2010-03,0.768,
2010-04,0.737,
2010-05,0.708,
2010-06,0.617,
2010-07,0.813,
2010-08,0.666,
2010-09,0.767,
2010-10,0.838,
2010-11,0.661,
2010-12,0.409,
2011-01,1.408,
2011-02,0.772,
2011-03,0.769,
2011-04,0.913,
2011-05,1.186,
2011-06,0.737,
2011-07,1.298,
2011-08,0.781,
2011-09,0.671,
2011-10,0.872,
2011-11,0.711,
2011-12,1.013,
2012-01,0.924,
2012-02,1.224,
2012-03,1.039,
2012-04,0.711,
2012-05,1.235,
2012-06,1.645,
2012-07,0.781,
2012-08,1.001,
2012-09,1.248,
2012-10,1.853,
2012-11,1.116,
2012-12,0.983,
2013-01,1.248,
2013-02,1.569,
2013-03,1.452,
2013-04,0.549,
2013-05,0.369,
2013-06,1.080,
2013-07,0.397,
2013-08,0.546,
2013-09,0.513,
2013-10,0.533,
2013-11,0.833,
2013-12,0.520,
2014-01,0.477,
2014-02,0.750,
2014-03,1.243,
2014-04,0.564,
2014-05,0.401,
2014-06,0.496,
2014-07,0.410,
2014-08,0.810,
2014-09,0.433,
2014-10,0.410,
2014-11,0.697,
2014-12,0.367,
