"",BBK01.TS1350S,BBK01.TS1350S_FLAGS
"",Credit to households and non-profit institutions serving households (adjusted for sales and securitisations) / Loans / All maturities / Domestic / Index / Seasonally adjusted,
unit,1208=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 09:16:39,
2003-01,98.34386,
2003-02,98.57977,
2003-03,98.75427,
2003-04,98.85594,
2003-05,99.01265,
2003-06,99.01069,
2003-07,99.14942,
2003-08,99.14216,
2003-09,99.32916,
2003-10,99.45751,
2003-11,99.46234,
2003-12,99.65753,
2004-01,99.69354,
2004-02,99.69641,
2004-03,99.74325,
2004-04,99.81897,
2004-05,99.85872,
2004-06,100.05951,
2004-07,100.17138,
2004-08,100.17258,
2004-09,100.30345,
2004-10,100.38108,
2004-11,100.21808,
2004-12,100.38359,
2005-01,100.44146,
2005-02,100.35636,
2005-03,100.38228,
2005-04,100.44396,
2005-05,100.51841,
2005-06,100.54483,
2005-07,100.60285,
2005-08,100.68049,
2005-09,100.70391,
2005-10,100.75525,
2005-11,100.89600,
2005-12,101.04807,
2006-01,101.26642,
2006-02,101.31059,
2006-03,101.23896,
2006-04,101.24889,
2006-05,101.31041,
2006-06,101.24711,
2006-07,101.31113,
2006-08,101.29245,
2006-09,101.32474,
2006-10,101.29759,
2006-11,101.31262,
2006-12,101.12342,
2007-01,101.09593,
2007-02,101.06353,
2007-03,101.08292,
2007-04,100.90629,
2007-05,100.77967,
2007-06,100.77550,
2007-07,100.70643,
2007-08,100.52537,
2007-09,100.46867,
2007-10,100.37450,
2007-11,100.35790,
2007-12,100.24538,
2008-01,100.27696,
2008-02,100.25380,
2008-03,100.26908,
2008-04,100.21932,
2008-05,100.18064,
2008-06,100.23774,
2008-07,100.12485,
2008-08,100.01196,
2008-09,99.94033,
2008-10,99.86015,
2008-11,99.79837,
2008-12,99.74780,
2009-01,99.71531,
2009-02,99.78608,
2009-03,99.75620,
2009-04,99.77984,
2009-05,99.86072,
2009-06,99.85269,
2009-07,99.90803,
2009-08,99.97434,
2009-09,100.03397,
2009-10,100.10096,
2009-11,100.15493,
2009-12,100.08941,
2010-01,100.20032,
2010-02,100.15179,
2010-03,100.28480,
2010-04,100.34003,
2010-05,100.39627,
2010-06,100.51883,
2010-07,100.64033,
2010-08,100.68668,
2010-09,100.70900,
2010-10,100.83542,
2010-11,100.98103,
2010-12,101.02593,
2011-01,101.05056,
2011-02,101.11631,
2011-03,101.19576,
2011-04,101.26192,
2011-05,101.42355,
2011-06,101.54536,
2011-07,101.53405,
2011-08,101.62701,
2011-09,101.69535,
2011-10,101.74281,
2011-11,101.90297,
2011-12,101.90168,
2012-01,102.11067,
2012-02,102.20752,
2012-03,102.36799,
2012-04,102.45063,
2012-05,102.55542,
2012-06,102.65930,
2012-07,102.75345,
2012-08,102.84352,
2012-09,102.91931,
2012-10,103.08551,
2012-11,103.24806,
2012-12,103.27987,
2013-01,103.40618,
2013-02,103.50767,
2013-03,103.59079,
2013-04,103.71642,
2013-05,103.79524,
2013-06,103.88766,
2013-07,104.03300,
2013-08,104.16774,
2013-09,104.28369,
2013-10,104.36681,
2013-11,104.43761,
2013-12,104.53973,
2014-01,104.60080,
2014-02,104.80440,
2014-03,104.93145,
2014-04,105.05413,
2014-05,105.19876,
2014-06,105.33511,
2014-07,105.44942,
2014-08,105.59930,
2014-09,105.71855,
2014-10,105.88888,
2014-11,106.02117,
2014-12,106.16968,Provisional value
2015-01,106.27466,
"",General: 1 Statistical changes have been eliminated.,
