"",BBK01.OEAC58P,BBK01.OEAC58P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:57,
2002-01,0.363,
2002-04,0.369,
2002-07,0.377,
2002-10,0.387,
2003-01,0.386,
2003-04,0.382,
2003-07,0.169,
2003-10,0.171,
2004-01,0.180,
2004-04,0.199,
2004-07,0.218,
2004-10,0.185,
2005-01,0.167,
2005-04,0.165,
2005-07,0.165,
2005-10,0.171,
2006-01,0.178,
2006-04,0.185,
2006-07,0.187,
2006-10,0.189,
2007-01,0.191,
2007-04,0.195,
2007-07,0.206,
2007-10,0.215,
2008-01,0.219,
2008-04,0.198,
2008-07,0.213,
2008-10,0.215,
2009-01,0.207,
2009-04,0.217,
2009-07,0.224,
2009-10,0.230,
2010-01,0.242,
2010-04,0.215,
2010-07,0.211,
2010-10,0.218,
2011-01,0.220,
2011-04,0.222,
2011-07,0.277,
2011-10,0.279,
2012-01,0.271,
2012-04,0.337,
2012-07,0.342,
2012-10,0.335,
2013-01,0.313,
2013-04,0.306,
2013-07,0.286,
2013-10,0.296,
2014-01,0.294,
2014-04,0.301,
2014-07,0.305,
