"",BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:58,
1991-01,-2024.603,
1991-02,-4068.158,
1991-03,-5266.406,
1991-04,-1996.374,
1991-05,-1841.129,
1991-06,-1721.677,
1991-07,-2076.822,
1991-08,-2191.711,
1991-09,-1955.017,
1991-10,-2252.338,
1991-11,-1969.013,
1991-12,-2793.052,
1992-01,-2250.415,
1992-02,-2819.422,
1992-03,-2214.729,
1992-04,-2258.857,
1992-05,-1721.438,
1992-06,-1923.177,
1992-07,-2441.220,
1992-08,-2005.315,
1992-09,-1940.530,
1992-10,-2408.127,
1992-11,-1526.179,
1992-12,-2803.749,
1993-01,-2227.791,
1993-02,-2241.079,
1993-03,-2028.546,
1993-04,-2484.976,
1993-05,-2139.489,
1993-06,-2137.759,
1993-07,-2503.044,
1993-08,-2561.800,
1993-09,-2113.022,
1993-10,-2473.656,
1993-11,-2103.332,
1993-12,-3879.338,
1994-01,-3246.365,
1994-02,-3222.734,
1994-03,-1341.912,
1994-04,-2523.287,
1994-05,-2306.039,
1994-06,-2339.607,
1994-07,-2936.611,
1994-08,-2541.129,
1994-09,-2492.462,
1994-10,-2387.128,
1994-11,-2393.060,
1994-12,-3636.244,
1995-01,-2905.907,
1995-02,-2869.434,
1995-03,-1631.225,
1995-04,-2496.942,
1995-05,-2416.454,
1995-06,-1729.004,
1995-07,-2366.738,
1995-08,-2397.590,
1995-09,-2241.203,
1995-10,-2670.756,
1995-11,-2169.125,
1995-12,-3637.197,
1996-01,-3553.445,
1996-02,-2269.624,
1996-03,-2236.998,
1996-04,-2534.243,
1996-05,-2460.917,
1996-06,-2469.260,
1996-07,-2391.556,
1996-08,-2845.058,
1996-09,-366.458,
1996-10,-2352.593,
1996-11,-2376.534,
1996-12,-2357.685,
1997-01,-4665.253,
1997-02,-2727.424,
1997-03,-1889.158,
1997-04,-2040.837,
1997-05,-1845.196,
1997-06,-2142.484,
1997-07,-2526.976,
1997-08,-2557.601,
1997-09,-2484.071,
1997-10,-2653.873,
1997-11,-2536.782,
1997-12,-782.406,
1998-01,-5561.477,
