"",BBK01.OEBI06V,BBK01.OEBI06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:51,
2002-01,0.336,
2002-04,0.342,
2002-07,0.321,
2002-10,0.313,
2003-01,0.303,
2003-04,0.215,
2003-07,0.194,
2003-10,0.183,
2004-01,0.192,
2004-04,0.184,
2004-07,0.178,
2004-10,0.151,
2005-01,0.162,
2005-04,0.151,
2005-07,0.148,
2005-10,0.138,
2006-01,0.139,
2006-04,0.146,
2006-07,0.163,
2006-10,0.167,
2007-01,0.171,
2007-04,0.184,
2007-07,0.186,
2007-10,0.217,
2008-01,0.250,
2008-04,0.286,
2008-07,0.308,
2008-10,0.336,
2009-01,0.365,
2009-04,0.321,
2009-07,0.289,
2009-10,0.255,
2010-01,0.263,
2010-04,0.322,
2010-07,0.353,
2010-10,0.372,
2011-01,0.400,
2011-04,0.490,
2011-07,0.522,
2011-10,0.527,
2012-01,0.525,
2012-04,0.534,
2012-07,0.523,
2012-10,0.471,
2013-01,0.413,
2013-04,0.356,
2013-07,0.367,
2013-10,0.405,
2014-01,0.496,
2014-04,0.599,
2014-07,0.746,
