"",BBK01.OEAA46P,BBK01.OEAA46P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:05,
2002-01,0.095,
2002-04,0.106,
2002-07,0.108,
2002-10,0.121,
2003-01,0.126,
2003-04,0.124,
2003-07,0.106,
2003-10,0.100,
2004-01,0.094,
2004-04,0.097,
2004-07,0.084,
2004-10,0.075,
2005-01,0.072,
2005-04,0.128,
2005-07,0.142,
2005-10,0.142,
2006-01,0.147,
2006-04,0.165,
2006-07,0.152,
2006-10,0.167,
2007-01,0.170,
2007-04,0.155,
2007-07,0.163,
2007-10,0.189,
2008-01,0.198,
2008-04,0.201,
2008-07,0.188,
2008-10,0.190,
2009-01,0.186,
2009-04,0.203,
2009-07,0.205,
2009-10,0.335,
2010-01,0.334,
2010-04,0.405,
2010-07,0.408,
2010-10,0.427,
2011-01,0.483,
2011-04,0.526,
2011-07,0.707,
2011-10,0.780,
2012-01,0.787,
2012-04,0.790,
2012-07,0.827,
2012-10,0.742,
2013-01,0.740,
2013-04,0.666,
2013-07,0.622,
2013-10,0.592,
2014-01,0.621,
2014-04,0.610,
2014-07,0.557,
