"",BBK01.OEBL05M,BBK01.OEBL05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:28,
2002-01,0.201,
2002-04,0.205,
2002-07,0.202,
2002-10,0.211,
2003-01,0.211,
2003-04,0.206,
2003-07,0.210,
2003-10,0.213,
2004-01,0.220,
2004-04,0.333,
2004-07,0.330,
2004-10,0.348,
2005-01,0.556,
2005-04,0.414,
2005-07,0.420,
2005-10,0.430,
2006-01,0.434,
2006-04,0.430,
2006-07,0.432,
2006-10,0.430,
2007-01,0.430,
2007-04,0.434,
2007-07,0.723,
2007-10,0.734,
2008-01,0.726,
2008-04,0.720,
2008-07,0.690,
2008-10,0.715,
2009-01,0.740,
2009-04,0.838,
2009-07,0.883,
2009-10,0.929,
2010-01,0.965,
2010-04,0.980,
2010-07,0.978,
2010-10,0.992,
2011-01,0.990,
2011-04,0.966,
2011-07,0.935,
2011-10,0.917,
2012-01,0.915,
2012-04,0.860,
2012-07,0.825,
2012-10,0.773,
2013-01,0.725,
2013-04,0.715,
2013-07,0.716,
2013-10,0.737,
2014-01,0.723,
2014-04,0.721,
2014-07,0.716,
