"",BBK01.OEAC13S,BBK01.OEAC13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:59,
2002-01,2.123,
2002-04,2.101,
2002-07,1.984,
2002-10,1.969,
2003-01,1.930,
2003-04,1.895,
2003-07,1.492,
2003-10,1.465,
2004-01,1.406,
2004-04,1.397,
2004-07,1.400,
2004-10,1.425,
2005-01,1.359,
2005-04,1.318,
2005-07,1.309,
2005-10,1.324,
2006-01,1.276,
2006-04,1.257,
2006-07,1.266,
2006-10,1.260,
2007-01,1.289,
2007-04,1.273,
2007-07,1.321,
2007-10,1.133,
2008-01,1.091,
2008-04,1.065,
2008-07,1.000,
2008-10,1.006,
2009-01,0.980,
2009-04,1.001,
2009-07,0.977,
2009-10,0.980,
2010-01,0.961,
2010-04,0.983,
2010-07,1.046,
2010-10,1.265,
2011-01,1.258,
2011-04,1.265,
2011-07,1.238,
2011-10,1.247,
2012-01,1.254,
2012-04,1.369,
2012-07,1.428,
2012-10,1.429,
2013-01,1.409,
2013-04,1.414,
2013-07,1.469,
2013-10,1.497,
2014-01,1.443,
2014-04,1.398,
2014-07,1.370,
