"",BBK01.OECI03Q,BBK01.OECI03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:36,
2002-01,0.817,
2002-04,0.707,
2002-07,0.754,
2002-10,0.697,
2003-01,0.776,
2003-04,0.705,
2003-07,0.786,
2003-10,0.745,
2004-01,0.642,
2004-04,0.652,
2004-07,0.584,
2004-10,1.181,
2005-01,1.267,
2005-04,1.129,
2005-07,1.175,
2005-10,1.327,
2006-01,1.290,
2006-04,1.334,
2006-07,1.460,
2006-10,1.571,
2007-01,1.598,
2007-04,1.746,
2007-07,1.873,
2007-10,2.245,
2008-01,2.389,
2008-04,2.503,
2008-07,2.814,
2008-10,2.784,
2009-01,2.354,
2009-04,2.473,
2009-07,2.191,
2009-10,1.882,
2010-01,1.589,
2010-04,1.449,
2010-07,1.332,
2010-10,1.271,
2011-01,1.193,
2011-04,1.172,
2011-07,1.104,
2011-10,1.206,
2012-01,1.266,
2012-04,1.122,
2012-07,1.164,
2012-10,0.966,
2013-01,0.848,
2013-04,0.843,
2013-07,0.760,
2013-10,0.747,
2014-01,0.829,
2014-04,0.781,
2014-07,0.702,
