"",BBK01.OEAN02G,BBK01.OEAN02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:46,
2002-01,88.230,
2002-04,87.774,
2002-07,88.438,
2002-10,92.937,
2003-01,94.928,
2003-04,94.877,
2003-07,95.793,
2003-10,99.067,
2004-01,101.290,
2004-04,102.392,
2004-07,103.464,
2004-10,106.591,
2005-01,78.923,
2005-04,78.812,
2005-07,78.172,
2005-10,78.914,
2006-01,78.734,
2006-04,78.038,
2006-07,77.756,
2006-10,77.926,
2007-01,76.872,
2007-04,75.151,
2007-07,73.569,
2007-10,73.357,
2008-01,71.311,
2008-04,69.631,
2008-07,67.680,
2008-10,69.889,
2009-01,71.989,
2009-04,73.445,
2009-07,76.439,
2009-10,81.365,
2010-01,83.994,
2010-04,83.874,
2010-07,84.222,
2010-10,86.205,
2011-01,87.834,
2011-04,87.217,
2011-07,86.728,
2011-10,86.875,
2012-01,86.941,
2012-04,86.113,
2012-07,85.733,
2012-10,86.082,
2013-01,85.411,
2013-04,84.436,
2013-07,84.373,
2013-10,84.453,
2014-01,84.418,
2014-04,83.238,
2014-07,83.783,
