"",BBK01.OEXJ02K,BBK01.OEXJ02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:30,
2002-01,3.665,
2002-04,3.977,
2002-07,4.801,
2002-10,5.342,
2003-01,5.050,
2003-04,4.256,
2003-07,4.277,
2003-10,4.900,
2004-01,4.616,
2004-04,4.674,
2004-07,4.918,
2004-10,2.528,
2005-01,2.917,
2005-04,2.839,
2005-07,3.356,
2005-10,2.950,
2006-01,3.408,
2006-04,3.631,
2006-07,2.698,
2006-10,2.848,
2007-01,3.068,
2007-04,3.267,
2007-07,3.613,
2007-10,3.489,
2008-01,3.893,
2008-04,3.509,
2008-07,3.816,
2008-10,3.653,
2009-01,4.261,
2009-04,4.229,
2009-07,4.471,
2009-10,4.106,
2010-01,4.267,
2010-04,4.452,
2010-07,4.413,
2010-10,4.525,
2011-01,4.739,
2011-04,5.527,
2011-07,5.472,
2011-10,5.114,
2012-01,4.908,
2012-04,5.266,
2012-07,5.468,
2012-10,6.231,
2013-01,6.213,
2013-04,6.461,
2013-07,7.088,
2013-10,7.212,
2014-01,7.456,
2014-04,7.469,
2014-07,8.002,
