"",BBK01.OELM04H,BBK01.OELM04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:44,
2002-01,0.573,
2002-04,0.551,
2002-07,0.535,
2002-10,0.523,
2003-01,0.492,
2003-04,0.492,
2003-07,0.479,
2003-10,0.527,
2004-01,0.500,
2004-04,0.543,
2004-07,0.562,
2004-10,0.596,
2005-01,0.561,
2005-04,0.595,
2005-07,0.623,
2005-10,0.651,
2006-01,0.583,
2006-04,0.613,
2006-07,0.659,
2006-10,0.707,
2007-01,0.742,
2007-04,0.760,
2007-07,0.756,
2007-10,0.811,
2008-01,0.773,
2008-04,0.789,
2008-07,0.820,
2008-10,0.847,
2009-01,0.857,
2009-04,0.806,
2009-07,0.767,
2009-10,0.717,
2010-01,0.746,
2010-04,0.737,
2010-07,0.659,
2010-10,0.784,
2011-01,0.697,
2011-04,0.831,
2011-07,0.774,
2011-10,0.798,
2012-01,0.661,
2012-04,0.696,
2012-07,0.699,
2012-10,0.763,
2013-01,0.672,
2013-04,0.675,
2013-07,0.723,
2013-10,0.807,
2014-01,0.699,
2014-04,0.738,
2014-07,0.752,
