"",BBK01.CEHD01,BBK01.CEHD01_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:16,
1991-01,-16.9,
1991-04,11.2,
1991-07,-4.1,
1991-10,11.4,
1992-01,-19.5,
1992-04,3.7,
1992-07,-0.7,
1992-10,16.2,
1993-01,-13.2,
1993-04,1.1,
1993-07,3.5,
1993-10,18.8,
1994-01,-15.4,
1994-04,4.1,
1994-07,2.6,
1994-10,13.5,
1995-01,-8.9,
1995-04,2.2,
1995-07,-0.2,
1995-10,23.2,
1996-01,-16.2,
1996-04,3.4,
1996-07,5.2,
1996-10,32.7,
1997-01,-23.6,
1997-04,-0.3,
1997-07,-0.9,
1997-10,20.5,
1998-01,-16.2,
1998-04,-1.2,
1998-07,3.6,
1998-10,28.8,
1999-01,-5.7,
1999-04,-2.4,
1999-07,6.2,
1999-10,3.6,
2000-01,-7.7,
2000-04,4.5,
2000-07,-4.8,
2000-10,17.8,
2001-01,-13.3,
2001-04,2.6,
2001-07,2.2,
2001-10,20.7,
2002-01,-49.4,
2002-04,6.5,
2002-07,3.3,
2002-10,14.3,
2003-01,-18.1,
2003-04,10.7,
2003-07,2.3,
2003-10,10.9,
2004-01,-4.6,
2004-04,9.1,
2004-07,4.4,
2004-10,5.9,
2005-01,-1.3,
2005-04,10.7,
2005-07,5.4,
2005-10,16.6,
2006-01,-9.0,
2006-04,4.2,
2006-07,-0.4,
2006-10,17.2,
2007-01,-5.7,
2007-04,3.7,
2007-07,-1.1,
2007-10,13.3,
2008-01,-9.4,
2008-04,1.0,
2008-07,16.8,
2008-10,16.6,
2009-01,5.4,
2009-04,17.5,
2009-07,18.3,
2009-10,23.0,
2010-01,-3.1,
2010-04,0.8,
2010-07,-0.4,
2010-10,-1.9,
2011-01,0.2,
2011-04,-2.3,
2011-07,20.5,
2011-10,19.8,
2012-01,-5.4,
2012-04,15.1,
2012-07,19.0,
2012-10,28.8,
2013-01,-28.3,
2013-04,7.9,
2013-07,21.1,
2013-10,13.4,
2014-01,-12.4,
