"",BBSF2.M.1.T.00000.IMM01.I.F.BGG.U3.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGG.U3.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Participations in real estate companies / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:56,
2009-09,3723,
2009-10,3741,
2009-11,3774,
2009-12,3906,
2010-01,3889,
2010-02,3935,
2010-03,3949,
2010-04,3966,
2010-05,4025,
2010-06,4106,
2010-07,4190,
2010-08,4351,
2010-09,4227,
2010-10,4204,
2010-11,4256,
2010-12,4244,
2011-01,4241,
2011-02,3993,
2011-03,4056,
2011-04,4013,
2011-05,3900,
2011-06,3750,
2011-07,3774,
2011-08,3796,
2011-09,3814,
2011-10,3855,
2011-11,3889,
2011-12,3851,
2012-01,3879,
2012-02,3908,
2012-03,3911,
2012-04,3951,
2012-05,3957,
2012-06,3968,
2012-07,4021,
2012-08,4037,
2012-09,3985,
2012-10,4001,
2012-11,4042,
2012-12,4051,
2013-01,3996,
2013-02,4080,
2013-03,4039,
2013-04,3973,
2013-05,3999,
2013-06,3662,
2013-07,3550,
2013-08,3542,
2013-09,3581,
2013-10,3502,
2013-11,3507,
2013-12,3445,
2014-01,3370,
2014-02,3376,
2014-03,3338,
2014-04,3387,
2014-05,3393,
2014-06,3653,
2014-07,3447,
2014-08,3400,
2014-09,3743,
2014-10,3648,
2014-11,3662,
