"",BBEX3.M.SBD.EUR.CM.AC.A01,BBEX3.M.SBD.EUR.CM.AC.A01_FLAGS
"",Exchange rates for the euro in the Solomon Islands / SBD 1 = EUR ... (middle),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:36,
1999-01,0.178100,
1999-02,0.171230,
1999-03,0.194110,
1999-04,0.193390,
1999-05,0.198070,
1999-06,0.199800,
1999-07,0.189400,
1999-08,0.193800,
1999-09,0.186200,
1999-10,0.188000,
1999-11,0.195900,
1999-12,0.196100,
2000-01,0.201400,
2000-02,0.203700,
2000-03,0.205400,
2000-04,0.216100,
2000-05,0.210700,
2000-06,0.206100,
2000-07,0.212000,
2000-08,0.219900,
2000-09,0.222400,
2000-10,0.232600,
2000-11,0.228400,
2000-12,0.214900,
2001-01,0.211600,
2001-02,0.213600,
2001-03,0.219000,
2001-04,0.214600,
2001-05,0.222100,
2001-06,0.223200,
2001-07,0.216000,
2001-08,0.207000,
2001-09,0.202900,
2001-10,0.203400,
2001-11,0.205800,
2001-12,0.203700,
2002-01,0.198000,
2002-02,0.191500,
2002-03,0.149300,comment
2002-04,0.174900,
2002-05,0.163800,
2002-06,0.141200,
2002-07,0.140000,
2002-08,0.138800,
2002-09,0.138300,
2002-10,0.136300,
2002-11,0.135200,
2002-12,0.128300,
2003-01,0.124500,
2003-02,0.124300,
2003-03,0.123600,
2003-04,0.120800,
2003-05,0.112900,
2003-06,0.116400,
2003-07,0.116800,
2003-08,0.121800,
2003-09,0.115200,
2003-10,0.113900,
2003-11,0.111800,
2003-12,0.106600,
2004-01,0.107700,
2004-02,0.107500,
2004-03,0.109700,
2004-04,0.111900,
2004-05,0.109200,
2004-06,0.110600,
2004-07,0.110900,
2004-08,0.110800,
2004-09,0.107700,
2004-10,0.104350,
2004-11,0.100150,
2004-12,0.097550,
2005-01,0.101800,
2005-02,0.100250,
2005-03,0.102550,
2005-04,0.102850,
2005-05,0.106200,
2005-06,0.109900,
2005-07,0.108500,
2005-08,0.107550,
2005-09,0.108800,
2005-10,0.108200,
2005-11,0.110850,
2005-12,0.110300,
2006-01,0.107300,
2006-02,0.110000,
2006-03,0.107050,
2006-04,0.103800,
2006-05,0.101100,
2006-06,0.102800,
2006-07,0.102000,
2006-08,0.101200,
2006-09,0.102200,
2006-10,0.103250,
2006-11,0.099750,
2006-12,0.099850,
2007-01,0.101300,
2007-02,0.099050,
2007-03,0.098500,
2007-04,0.096200,
2007-05,0.097600,
2007-06,0.097600,
2007-07,0.095650,
2007-08,0.096050,
2007-09,0.092350,
2007-10,0.090500,
2007-11,0.088550,
2007-12,0.088850,
2008-01,0.087900,
2008-02,0.085950,
2008-03,0.082750,
2008-04,0.083900,
2008-05,0.083400,
2008-06,0.082850,
2008-07,0.083800,
2008-08,0.088050,
2008-09,0.088950,
2008-10,0.097700,
2008-11,0.097000,
2008-12,0.088600,
2009-01,0.096400,
2009-02,0.097650,
2009-03,0.094250,
2009-04,0.093750,
2009-05,0.089200,
2009-06,0.088150,
2009-07,0.088500,
2009-08,0.086800,
2009-09,0.085250,
2009-10,0.083800,
2009-11,0.082850,
2009-12,0.086650,
2010-01,0.088600,
2010-02,0.091750,
2010-03,0.092200,
2010-04,0.093850,
2010-05,0.101400,
2010-06,0.099100,
2010-07,0.095100,
2010-08,0.098200,
2010-09,0.091250,
2010-10,0.089200,
2010-11,0.094650,
2010-12,0.094150,
2011-01,0.090950,
2011-02,0.091350,
2011-03,0.089200,
2011-04,0.085650,
2011-05,0.089550,
2011-06,0.093600,
2011-07,0.094450,
2011-08,0.094400,
2011-09,0.100050,
2011-10,0.096500,
2011-11,0.103100,
2011-12,0.105900,
2012-01,0.104600,
2012-02,0.102200,
2012-03,0.103250,
2012-04,0.103650,
2012-05,0.110850,
2012-06,0.110200,
2012-07,0.111850,
2012-08,0.109700,
2012-09,0.106300,
2012-10,0.105400,
2012-11,0.105700,
2012-12,0.103950,
2013-01,0.101300,
2013-02,0.105500,
2013-03,0.107950,
2013-04,0.105700,
2013-05,0.106200,
2013-06,0.106300,
2013-07,0.103890,
2013-08,0.104500,
2013-09,0.101000,
2013-10,0.098900,
2013-11,0.101300,
2013-12,0.098600,
2014-01,0.100000,
2014-02,0.099300,
2014-03,0.098800,
2014-04,0.098200,
2014-05,0.100300,
2014-06,0.100400,
2014-07,0.102500,
2014-08,0.104000,
2014-09,0.105900,
2014-10,0.107000,
2014-11,0.107000,
2014-12,0.107700,
2015-01,0.118800,
2015-02,0.114400,
"","Source: Since July 2013 Central Bank of Solomon Islands, Honiara  Until June 2013 calculated on the basis of the buying and selling rates of the following banks:  November 2011 - June 2013 Bank South Pacific, Honiara  August 2004 - October 2011 Westpac Banking Corporation, Honiara  1999 - July 2004 Central Bank of Solomon Islands, Honiara",
"","Comment on 2002-03: On 26 March 2002, the Solomon Islands dollar was devalued by just over 20%. However, this decision was reversed on 3 April and the exchange rate for the Solomon Islands dollar was returned to its previous level.",
