"",BBK01.OEAC19R,BBK01.OEAC19R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:42,
2002-01,0.252,
2002-04,0.254,
2002-07,0.249,
2002-10,0.228,
2003-01,0.238,
2003-04,0.223,
2003-07,0.205,
2003-10,0.157,
2004-01,0.163,
2004-04,0.157,
2004-07,0.150,
2004-10,0.136,
2005-01,0.140,
2005-04,0.137,
2005-07,0.132,
2005-10,0.117,
2006-01,0.123,
2006-04,0.124,
2006-07,0.113,
2006-10,0.093,
2007-01,0.104,
2007-04,0.102,
2007-07,0.097,
2007-10,0.086,
2008-01,0.095,
2008-04,0.089,
2008-07,0.086,
2008-10,0.072,
2009-01,0.112,
2009-04,0.113,
2009-07,0.107,
2009-10,0.095,
2010-01,0.096,
2010-04,0.090,
2010-07,0.079,
2010-10,0.069,
2011-01,0.080,
2011-04,0.085,
2011-07,0.079,
2011-10,0.073,
2012-01,0.081,
2012-04,0.091,
2012-07,0.081,
2012-10,0.077,
2013-01,0.085,
2013-04,0.081,
2013-07,0.075,
2013-10,0.066,
2014-01,0.075,
2014-04,0.075,
2014-07,0.068,
