"",BBK01.WXI068,BBK01.WXI068_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:51,
2009-09,6,
2009-10,7,
2009-11,7,
2009-12,6,
2010-01,8,
2010-02,6,
2010-03,6,
2010-04,6,
2010-05,7,
2010-06,6,
2010-07,8,
2010-08,7,
2010-09,107,
2010-10,12,
2010-11,17,
2010-12,17,
2011-01,91,
2011-02,39,
2011-03,65,
2011-04,67,
2011-05,55,
2011-06,32,
2011-07,74,
2011-08,54,
2011-09,36,
2011-10,81,
2011-11,131,
2011-12,13,
2012-01,107,
2012-02,61,
2012-03,115,
2012-04,49,
2012-05,52,
2012-06,57,
2012-07,32,
2012-08,77,
2012-09,39,
2012-10,87,
2012-11,129,
2012-12,185,
2013-01,326,
2013-02,146,
2013-03,28,
2013-04,123,
2013-05,120,
2013-06,79,
2013-07,204,
2013-08,108,
2013-09,267,
2013-10,257,
2013-11,441,
2013-12,83,
2014-01,44,
2014-02,70,
2014-03,37,
2014-04,57,
2014-05,37,
2014-06,106,
2014-07,120,
2014-08,211,
2014-09,44,
2014-10,113,
2014-11,226,
