"",BBK01.OELJ04N,BBK01.OELJ04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:40,
2002-01,3.868,
2002-04,3.872,
2002-07,4.057,
2002-10,4.039,
2003-01,4.031,
2003-04,3.918,
2003-07,3.982,
2003-10,3.962,
2004-01,4.251,
2004-04,4.177,
2004-07,4.543,
2004-10,4.487,
2005-01,4.442,
2005-04,4.554,
2005-07,4.650,
2005-10,4.685,
2006-01,4.507,
2006-04,4.773,
2006-07,5.043,
2006-10,5.511,
2007-01,5.373,
2007-04,5.482,
2007-07,5.915,
2007-10,5.977,
2008-01,5.726,
2008-04,5.673,
2008-07,6.580,
2008-10,6.599,
2009-01,6.099,
2009-04,5.906,
2009-07,5.625,
2009-10,5.707,
2010-01,5.424,
2010-04,5.450,
2010-07,5.645,
2010-10,5.951,
2011-01,5.858,
2011-04,5.819,
2011-07,6.395,
2011-10,6.414,
2012-01,6.111,
2012-04,5.899,
2012-07,5.596,
2012-10,5.641,
2013-01,5.126,
2013-04,5.248,
2013-07,5.016,
2013-10,4.967,
2014-01,4.883,
2014-04,4.980,
2014-07,5.494,
