"",BBDE1.M.DE.Y.AEA1.A2Q501000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2Q501000.F.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Intermediate and capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:37,
1991-01,61.7,
1991-02,58.7,
1991-03,60.0,
1991-04,58.7,
1991-05,58.2,
1991-06,58.8,
1991-07,58.1,
1991-08,61.4,
1991-09,57.9,
1991-10,59.2,
1991-11,59.9,
1991-12,60.8,
1992-01,60.1,
1992-02,60.6,
1992-03,60.5,
1992-04,58.9,
1992-05,57.5,
1992-06,56.1,
1992-07,55.0,
1992-08,55.3,
1992-09,56.0,
1992-10,52.0,
1992-11,52.7,
1992-12,53.7,
1993-01,52.5,
1993-02,51.3,
1993-03,49.9,
1993-04,50.1,
1993-05,51.1,
1993-06,50.5,
1993-07,51.3,
1993-08,50.6,
1993-09,53.3,
1993-10,52.3,
1993-11,52.2,
1993-12,54.6,
1994-01,51.7,
1994-02,53.8,
1994-03,55.6,
1994-04,55.3,
1994-05,54.8,
1994-06,56.5,
1994-07,56.0,
1994-08,55.6,
1994-09,58.5,
1994-10,59.1,
1994-11,59.9,
1994-12,62.8,
1995-01,57.8,
1995-02,59.4,
1995-03,59.6,
1995-04,58.3,
1995-05,59.6,
1995-06,57.6,
1995-07,59.7,
1995-08,57.0,
1995-09,59.0,
1995-10,56.0,
1995-11,57.9,
1995-12,58.2,
1996-01,56.9,
1996-02,56.3,
1996-03,58.3,
1996-04,57.9,
1996-05,58.0,
1996-06,59.4,
1996-07,59.0,
1996-08,59.1,
1996-09,58.8,
1996-10,59.9,
1996-11,59.5,
1996-12,59.0,
1997-01,60.2,
1997-02,60.3,
1997-03,62.6,
1997-04,63.6,
1997-05,62.6,
1997-06,63.8,
1997-07,63.9,
1997-08,64.7,
1997-09,66.1,
1997-10,65.5,
1997-11,65.3,
1997-12,66.1,
1998-01,67.5,
1998-02,66.9,
1998-03,68.1,
1998-04,68.2,
1998-05,67.1,
1998-06,66.7,
1998-07,67.1,
1998-08,65.0,
1998-09,67.1,
1998-10,64.4,
1998-11,63.8,
1998-12,65.4,
1999-01,64.0,
1999-02,64.2,
1999-03,64.6,
1999-04,65.0,
1999-05,65.3,
1999-06,67.8,
1999-07,68.2,
1999-08,71.7,
1999-09,70.8,
1999-10,71.4,
1999-11,72.4,
1999-12,73.2,
2000-01,70.7,
2000-02,75.1,
2000-03,77.1,
2000-04,78.2,
2000-05,78.8,
2000-06,80.5,
2000-07,81.0,
2000-08,81.3,
2000-09,81.1,
2000-10,81.6,
2000-11,81.9,
2000-12,82.9,
2001-01,79.9,
2001-02,80.7,
2001-03,79.8,
2001-04,76.8,
2001-05,79.4,
2001-06,79.5,
2001-07,77.0,
2001-08,77.7,
2001-09,75.1,
2001-10,73.9,
2001-11,74.0,
2001-12,77.5,
2002-01,75.6,
2002-02,75.4,
2002-03,76.8,
2002-04,77.3,
2002-05,80.0,
2002-06,79.3,
2002-07,78.0,
2002-08,79.8,
2002-09,78.5,
2002-10,78.1,
2002-11,79.4,
2002-12,76.8,
2003-01,79.2,
2003-02,79.0,
2003-03,77.4,
2003-04,77.7,
2003-05,75.7,
2003-06,78.5,
2003-07,77.6,
2003-08,77.8,
2003-09,79.6,
2003-10,80.2,
2003-11,80.9,
2003-12,82.7,
2004-01,81.1,
2004-02,81.8,
2004-03,83.4,
2004-04,84.6,
2004-05,85.3,
2004-06,84.5,
2004-07,85.5,
2004-08,84.2,
2004-09,85.9,
2004-10,85.7,
2004-11,84.0,
2004-12,89.9,
2005-01,86.9,
2005-02,85.6,
2005-03,87.2,
2005-04,86.3,
2005-05,86.8,
2005-06,90.0,
2005-07,91.9,
2005-08,90.0,
2005-09,93.2,
2005-10,94.8,
2005-11,96.2,
2005-12,95.7,
2006-01,96.6,
2006-02,97.0,
2006-03,96.2,
2006-04,99.2,
2006-05,99.8,
2006-06,98.8,
2006-07,101.5,
2006-08,105.2,
2006-09,103.7,
2006-10,103.6,
2006-11,103.9,
2006-12,104.9,
2007-01,106.7,
2007-02,109.8,
2007-03,109.7,
2007-04,108.5,
2007-05,112.3,
2007-06,116.3,
2007-07,110.7,
2007-08,111.2,
2007-09,110.9,
2007-10,115.8,
2007-11,119.1,
2007-12,117.8,
2008-01,115.2,
2008-02,115.9,
2008-03,114.0,
2008-04,115.2,
2008-05,112.3,
2008-06,108.1,
2008-07,108.2,
2008-08,110.1,
2008-09,102.5,
