"",BBK01.OEAF08L,BBK01.OEAF08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:14,
2002-01,1.250,
2002-04,1.269,
2002-07,1.598,
2002-10,1.509,
2003-01,1.424,
2003-04,1.454,
2003-07,1.313,
2003-10,1.245,
2004-01,1.235,
2004-04,1.266,
2004-07,1.210,
2004-10,1.215,
2005-01,1.188,
2005-04,1.145,
2005-07,1.116,
2005-10,1.169,
2006-01,1.170,
2006-04,1.199,
2006-07,1.255,
2006-10,1.235,
2007-01,1.193,
2007-04,1.156,
2007-07,1.132,
2007-10,1.193,
2008-01,1.189,
2008-04,1.176,
2008-07,1.249,
2008-10,1.131,
2009-01,1.172,
2009-04,1.095,
2009-07,1.036,
2009-10,1.063,
2010-01,1.083,
2010-04,1.016,
2010-07,0.959,
2010-10,0.992,
2011-01,1.071,
2011-04,1.042,
2011-07,1.031,
2011-10,1.007,
2012-01,1.212,
2012-04,1.194,
2012-07,1.225,
2012-10,1.162,
2013-01,1.064,
2013-04,1.105,
2013-07,1.051,
2013-10,1.099,
2014-01,1.023,
2014-04,0.985,
2014-07,0.985,
