"",BBFN1.M.DE.N.1.A.FR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / France,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:03,
1968-12,0.028,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.035,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,0.066,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,0.125,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.085,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.082,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.216,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.215,
1976-01,0.190,
1976-02,0.179,
1976-03,0.164,
1976-04,0.165,
1976-05,0.193,
1976-06,0.211,
1976-07,0.248,
1976-08,0.220,
1976-09,0.200,
1976-10,0.220,
1976-11,0.221,
1976-12,0.217,
1977-01,0.179,
1977-02,0.191,
1977-03,0.174,
1977-04,0.184,
1977-05,0.184,
1977-06,0.177,
1977-07,0.189,
1977-08,0.229,
1977-09,0.221,
1977-10,0.236,
1977-11,0.252,
1977-12,0.227,
1978-01,0.246,
1978-02,0.243,
1978-03,0.265,
1978-04,0.302,
1978-05,0.315,
1978-06,0.327,
1978-07,0.350,
1978-08,0.313,
1978-09,0.338,
1978-10,0.310,
1978-11,0.376,
1978-12,0.437,
1979-01,0.419,
1979-02,0.390,
1979-03,0.478,
1979-04,0.460,
1979-05,0.460,
1979-06,0.441,
1979-07,0.493,
1979-08,0.432,
1979-09,0.484,
1979-10,0.529,
1979-11,0.530,
1979-12,0.552,
1980-01,0.540,
1980-02,0.565,
1980-03,0.517,
1980-04,0.564,
1980-05,0.529,
1980-06,0.524,
1980-07,0.505,
1980-08,0.474,
1980-09,0.478,
1980-10,0.450,
1980-11,0.495,
1980-12,0.620,
1981-01,0.688,
1981-02,0.784,
1981-03,0.708,
1981-04,0.695,
1981-05,0.703,
1981-06,0.635,
1981-07,0.714,
1981-08,0.686,
1981-09,0.691,
1981-10,0.622,
1981-11,0.634,
1981-12,0.586,
1982-01,0.696,
1982-02,0.805,
1982-03,0.672,
1982-04,0.615,
1982-05,0.652,
1982-06,0.733,
1982-07,0.688,
1982-08,0.665,
1982-09,0.674,
1982-10,0.798,
1982-11,0.811,
1982-12,0.627,
1983-01,0.717,
1983-02,0.758,
1983-03,0.737,
1983-04,0.767,
1983-05,0.637,
1983-06,0.608,
1983-07,0.705,
1983-08,0.709,
1983-09,0.711,
1983-10,0.925,
1983-11,1.000,
1983-12,0.902,
1984-01,0.988,
1984-02,1.317,
1984-03,1.331,
1984-04,1.199,
1984-05,1.135,
1984-06,1.003,
1984-07,0.985,
1984-08,1.220,
1984-09,1.202,
1984-10,1.138,
1984-11,1.285,
1984-12,1.205,
1985-01,1.447,
1985-02,1.419,
1985-03,1.249,
1985-04,1.070,
1985-05,1.100,
1985-06,1.306,
1985-07,0.936,
1985-08,0.944,
1985-09,0.978,
1985-10,1.239,
1985-11,1.169,
1985-12,1.078,
1986-01,1.195,
1986-02,1.287,
1986-03,1.368,
1986-04,1.303,
1986-05,1.295,
1986-06,1.263,
1986-07,1.397,
1986-08,1.433,
1986-09,1.307,
1986-10,1.541,
1986-11,1.829,
1986-12,1.482,
1987-01,1.550,
1987-02,1.359,
1987-03,1.154,
1987-04,1.391,
1987-05,1.376,
1987-06,1.339,
1987-07,1.468,
1987-08,1.332,
1987-09,1.382,
1987-10,1.276,
1987-11,1.194,
1987-12,1.328,
1988-01,1.348,
1988-02,1.525,
1988-03,1.524,
1988-04,1.515,
1988-05,1.580,
1988-06,1.606,
1988-07,1.507,
1988-08,1.483,
1988-09,1.531,
1988-10,1.491,
1988-11,1.315,
1988-12,1.469,
1989-01,1.642,
1989-02,1.572,
1989-03,1.538,
1989-04,1.450,
1989-05,1.410,
1989-06,1.456,
1989-07,1.514,
1989-08,1.416,
1989-09,1.428,
1989-10,3.084,
1989-11,3.162,
1989-12,3.093,
1990-01,3.308,
1990-02,3.070,
1990-03,3.029,
1990-04,2.113,
1990-05,2.123,
1990-06,1.960,
1990-07,2.319,
1990-08,2.616,
1990-09,2.348,
1990-10,2.718,
1990-11,2.849,
1990-12,2.764,
1991-01,2.901,
1991-02,2.975,
1991-03,3.321,
1991-04,4.123,
1991-05,3.934,
1991-06,3.672,
1991-07,3.400,
1991-08,3.468,
1991-09,3.208,
1991-10,4.511,
1991-11,4.459,
1991-12,4.173,
1992-01,4.636,
1992-02,5.525,
1992-03,5.112,
1992-04,5.150,
1992-05,4.820,
1992-06,4.705,
1992-07,4.720,
1992-08,4.635,
1992-09,3.984,
1992-10,4.469,
1992-11,4.907,
1992-12,4.757,
1993-01,4.802,
1993-02,5.318,
1993-03,6.253,
1993-04,5.882,
1993-05,5.998,
1993-06,5.821,
1993-07,5.933,
1993-08,5.322,
1993-09,5.584,
1993-10,6.774,
1993-11,6.849,
