"",BBK01.OEXM01Q,BBK01.OEXM01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:32,
2002-01,0.195,
2002-04,0.208,
2002-07,0.186,
2002-10,0.124,
2003-01,0.090,
2003-04,0.064,
2003-07,0.051,
2003-10,0.041,
2004-01,0.051,
2004-04,0.035,
2004-07,0.046,
2004-10,0.015,
2005-01,0.018,
2005-04,0.018,
2005-07,0.012,
2005-10,0.013,
2006-01,0.013,
2006-04,0.013,
2006-07,0.014,
2006-10,0.013,
2007-01,0.007,
2007-04,0.007,
2007-07,0.007,
2007-10,0.007,
2008-01,0.005,
2008-04,0.001,
2008-07,0.003,
2008-10,0.003,
2009-01,0.001,
2009-04,0.001,
2009-07,0.001,
2009-10,0.001,
2010-01,0.002,
2010-04,0.003,
2010-07,0.003,
2010-10,0.049,
2011-01,0.003,
2011-04,0.003,
2011-07,0.001,
2011-10,0.002,
2012-01,0.001,
2012-04,0.004,
2012-07,0.009,
2012-10,0.004,
2013-01,0.014,
2013-04,0.005,
2013-07,0.009,
2013-10,0.016,
2014-01,0.056,
2014-04,0.005,
2014-07,0.004,
