"",BBK01.OEXI06V,BBK01.OEXI06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:05,
2002-01,0.272,
2002-04,0.275,
2002-07,0.259,
2002-10,0.259,
2003-01,0.252,
2003-04,0.166,
2003-07,0.153,
2003-10,0.148,
2004-01,0.162,
2004-04,0.102,
2004-07,0.103,
2004-10,0.092,
2005-01,0.114,
2005-04,0.111,
2005-07,0.113,
2005-10,0.108,
2006-01,0.114,
2006-04,0.123,
2006-07,0.141,
2006-10,0.147,
2007-01,0.156,
2007-04,0.171,
2007-07,0.174,
2007-10,0.205,
2008-01,0.239,
2008-04,0.275,
2008-07,0.291,
2008-10,0.322,
2009-01,0.353,
2009-04,0.310,
2009-07,0.282,
2009-10,0.249,
2010-01,0.257,
2010-04,0.317,
2010-07,0.348,
2010-10,0.367,
2011-01,0.397,
2011-04,0.442,
2011-07,0.466,
2011-10,0.458,
2012-01,0.444,
2012-04,0.451,
2012-07,0.439,
2012-10,0.411,
2013-01,0.360,
2013-04,0.306,
2013-07,0.315,
2013-10,0.345,
2014-01,0.433,
2014-04,0.534,
2014-07,0.689,
