"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:26,
1991-01,-3610.947,
1991-02,5269.438,
1991-03,-5263.760,
1991-04,-10820.148,
1991-05,-4702.930,
1991-06,4257.282,
1991-07,-5345.847,
1991-08,3036.522,
1991-09,911.903,
1991-10,2342.183,
1991-11,7450.953,
1991-12,7043.459,
1992-01,-7201.124,
1992-02,-2412.653,
1992-03,1719.316,
1992-04,-2617.459,
1992-05,-4316.841,
1992-06,-2895.406,
1992-07,3290.154,
1992-08,1658.939,
1992-09,-641.963,
1992-10,7692.220,
1992-11,2719.196,
1992-12,-1542.776,
1993-01,-6394.998,
1993-02,8580.992,
1993-03,10616.569,
1993-04,-2571.791,
1993-05,4010.171,
1993-06,16253.089,
1993-07,-3315.196,
1993-08,-12200.127,
1993-09,13015.910,
1993-10,1080.126,
1993-11,14406.153,
1993-12,31119.273,
1994-01,-7481.453,
1994-02,-3577.245,
1994-03,-15940.725,
1994-04,-6940.909,
1994-05,-1546.309,
1994-06,-4097.414,
1994-07,-3353.642,
1994-08,2327.668,
1994-09,1052.711,
1994-10,-3742.171,
1994-11,9851.521,
1994-12,17744.371,
1995-01,-11574.267,
1995-02,8678.494,
1995-03,743.464,
1995-04,4283.406,
1995-05,5602.707,
1995-06,8268.602,
1995-07,-2508.711,
1995-08,12349.011,
1995-09,3205.203,
1995-10,-3197.399,
1995-11,7801.305,
1995-12,6026.541,
1996-01,-11020.863,
1996-02,5866.785,
1996-03,-779.022,
1996-04,-8253.315,
1996-05,5745.805,
1996-06,8536.816,
1996-07,-3369.982,
1996-08,3408.270,
1996-09,1652.662,
1996-10,-7092.065,
1996-11,14353.952,
1996-12,21111.379,
1997-01,-7392.072,
1997-02,6537.714,
1997-03,7143.238,
1997-04,1545.039,
1997-05,-3302.644,
1997-06,19785.229,
1997-07,1381.010,
1997-08,-805.108,
1997-09,1989.278,
1997-10,8836.570,
1997-11,17847.943,
1997-12,17041.600,
1998-01,-7443.795,
1998-02,2829.241,
1998-03,3403.801,
1998-04,6221.453,
1998-05,7679.736,
1998-06,6072.393,
1998-07,-11321.322,
1998-08,22503.258,
1998-09,-1902.534,
1998-10,2947.454,
1998-11,22821.142,
1998-12,14955.773,
1999-01,70369.947,
1999-02,-50595.765,
1999-03,4830.678,
1999-04,9080.716,
1999-05,-10616.782,
1999-06,844.324,
1999-07,16171.010,
1999-08,2550.023,
1999-09,-1350.426,
1999-10,14160.507,
1999-11,20386.408,
1999-12,-34966.356,
2000-01,17406.093,
2000-02,7735.330,
2000-03,-1926.068,
2000-04,11795.717,
2000-05,6610.096,
2000-06,-10528.891,
2000-07,-1623.417,
2000-08,22429.769,
2000-09,10104.002,
2000-10,12517.765,
2000-11,18555.520,
2000-12,7046.244,
2001-01,9547.738,
2001-02,18261.663,
2001-03,42216.084,
2001-04,10533.562,
2001-05,-13289.572,
2001-06,12906.939,
2001-07,-25876.344,
2001-08,28422.694,
2001-09,31964.065,
2001-10,5813.672,
2001-11,27504.316,
2001-12,-20995.849,
2002-01,-10430.575,
2002-02,-14686.273,
2002-03,26587.264,
2002-04,10102.076,
2002-05,35669.149,
2002-06,7636.024,
2002-07,-4514.076,
2002-08,13170.626,
2002-09,37589.447,
2002-10,16211.837,
2002-11,40100.501,
2002-12,-24994.303,
2003-01,14911.901,
2003-02,37258.248,
2003-03,22140.183,
2003-04,20780.959,
2003-05,34936.649,
2003-06,11153.190,
2003-07,-26699.675,
2003-08,-19242.472,
2003-09,16549.402,
2003-10,-18940.606,
2003-11,25040.975,
2003-12,4810.837,
2004-01,20414.270,
2004-02,6778.268,
2004-03,9140.535,
2004-04,23271.841,
2004-05,-5537.658,
2004-06,-3607.729,
2004-07,-4242.602,
2004-08,6539.374,
2004-09,31101.128,
2004-10,18355.956,
2004-11,46925.839,
2004-12,-27601.106,
2005-01,30318.883,
2005-02,41567.290,
2005-03,-14870.758,
2005-04,60897.168,
2005-05,-15636.753,
2005-06,1369.175,
2005-07,7999.488,
2005-08,-18606.965,
2005-09,29511.460,
2005-10,18211.693,
2005-11,4394.550,
2005-12,-60296.951,
2006-01,56246.484,
2006-02,14650.456,
2006-03,35859.527,
2006-04,7534.505,
2006-05,2167.199,
2006-06,46515.018,
2006-07,-26139.275,
2006-08,-1187.341,
2006-09,26050.440,
2006-10,-7234.329,
2006-11,25657.871,
2006-12,26184.089,
2007-01,12730.537,
2007-02,25236.737,
2007-03,10676.469,
2007-04,47997.729,
2007-05,5393.094,
2007-06,33151.777,
2007-07,1333.745,
2007-08,14512.971,
2007-09,62573.752,
2007-10,-4043.513,
2007-11,35214.304,
2007-12,-19563.876,
2008-01,31419.382,
2008-02,17100.861,
2008-03,30495.885,
2008-04,26354.452,
2008-05,-10471.847,
2008-06,-17778.365,
2008-07,-7211.921,
2008-08,-5880.123,
2008-09,76043.076,
2008-10,24806.572,
2008-11,-50564.762,
2008-12,-43127.004,
2009-01,-37571.225,
2009-02,-26949.101,
2009-03,-40537.250,
2009-04,35210.163,
2009-05,-14072.459,
2009-06,-23355.394,
2009-07,-22164.023,
2009-08,-1687.645,
2009-09,-47393.086,
2009-10,22181.545,
2009-11,-7245.208,
2009-12,-14397.220,
2010-01,-4518.371,
2010-02,-11152.585,
2010-03,-8718.865,
2010-04,60070.735,
2010-05,46648.891,
2010-06,-83898.223,
2010-07,-19895.929,
2010-08,25383.092,
2010-09,-47870.158,
2010-10,-74594.975,
2010-11,16165.418,
2010-12,-38448.859,
2011-01,2215.757,
2011-02,10408.969,
2011-03,-48999.529,
2011-04,70888.325,
2011-05,-3795.478,
2011-06,-46275.572,
2011-07,1030.769,
2011-08,38615.904,
2011-09,-13765.940,
2011-10,-27461.776,
2011-11,-981.284,
2011-12,-32155.046,
2012-01,26032.301,
2012-02,264.792,
2012-03,-10051.819,
2012-04,8166.980,
2012-05,-8694.391,
2012-06,-41304.499,
2012-07,12221.876,
2012-08,2216.759,
2012-09,6978.950,
2012-10,-7191.669,
2012-11,-8932.311,
2012-12,-45788.885,
2013-01,171.091,
2013-02,13971.425,
2013-03,-13786.919,
2013-04,9303.291,
2013-05,-6981.329,
2013-06,-3187.120,
