"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.IE.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.IE.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:46,
2009-09,416,
2009-10,398,
2009-11,406,
2009-12,466,
2010-01,471,
2010-02,461,
2010-03,505,
2010-04,537,
2010-05,461,
2010-06,429,
2010-07,403,
2010-08,356,
2010-09,348,
2010-10,383,
2010-11,408,
2010-12,435,
2011-01,443,
2011-02,441,
2011-03,440,
2011-04,451,
2011-05,446,
2011-06,424,
2011-07,353,
2011-08,324,
2011-09,318,
2011-10,353,
2011-11,327,
2011-12,329,
2012-01,334,
2012-02,354,
2012-03,351,
2012-04,342,
2012-05,324,
2012-06,337,
2012-07,357,
2012-08,332,
2012-09,344,
2012-10,339,
2012-11,343,
2012-12,351,
2013-01,372,
2013-02,403,
2013-03,441,
2013-04,436,
2013-05,452,
2013-06,416,
2013-07,422,
2013-08,447,
2013-09,482,
2013-10,509,
2013-11,565,
2013-12,588,
2014-01,608,
2014-02,668,
2014-03,638,
2014-04,599,
2014-05,639,
2014-06,698,
2014-07,702,
2014-08,768,
2014-09,718,
2014-10,794,
2014-11,896,
