"",BBK01.OEAC13K,BBK01.OEAC13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:56,
2002-01,5.927,
2002-04,5.827,
2002-07,5.986,
2002-10,4.559,
2003-01,4.375,
2003-04,4.527,
2003-07,4.017,
2003-10,4.140,
2004-01,3.956,
2004-04,6.020,
2004-07,5.551,
2004-10,4.351,
2005-01,4.357,
2005-04,3.854,
2005-07,3.405,
2005-10,3.368,
2006-01,3.814,
2006-04,3.945,
2006-07,4.194,
2006-10,4.054,
2007-01,3.884,
2007-04,2.865,
2007-07,2.749,
2007-10,2.824,
2008-01,2.771,
2008-04,2.773,
2008-07,2.753,
2008-10,2.781,
2009-01,2.999,
2009-04,3.048,
2009-07,3.081,
2009-10,3.076,
2010-01,2.720,
2010-04,2.393,
2010-07,2.412,
2010-10,2.434,
2011-01,2.290,
2011-04,2.351,
2011-07,2.547,
2011-10,2.599,
2012-01,2.739,
2012-04,2.871,
2012-07,3.056,
2012-10,3.431,
2013-01,3.468,
2013-04,3.554,
2013-07,3.719,
2013-10,3.895,
2014-01,4.113,
2014-04,4.223,
2014-07,3.959,
