"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.CY.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.CY.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Cyprus,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:31,
2009-09,26,
2009-10,29,
2009-11,26,
2009-12,27,
2010-01,24,
2010-02,22,
2010-03,27,
2010-04,27,
2010-05,22,
2010-06,19,
2010-07,25,
2010-08,25,
2010-09,34,
2010-10,38,
2010-11,35,
2010-12,34,
2011-01,39,
2011-02,38,
2011-03,36,
2011-04,35,
2011-05,32,
2011-06,32,
2011-07,31,
2011-08,22,
2011-09,16,
2011-10,19,
2011-11,17,
2011-12,16,
2012-01,17,
2012-02,20,
2012-03,18,
2012-04,17,
2012-05,15,
2012-06,16,
2012-07,18,
2012-08,19,
2012-09,20,
2012-10,20,
2012-11,19,
2012-12,18,
2013-01,17,
2013-02,18,
2013-03,18,
2013-04,15,
2013-05,14,
2013-06,12,
2013-07,12,
2013-08,11,
2013-09,11,
2013-10,13,
2013-11,11,
2013-12,11,
2014-01,9,
2014-02,11,
2014-03,10,
2014-04,15,
2014-05,14,
2014-06,14,
2014-07,13,
2014-08,11,
2014-09,10,
2014-10,8,
2014-11,7,
