"",BBK01.OEHL08O,BBK01.OEHL08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:17,
2002-01,12.304,
2002-04,12.397,
2002-07,12.422,
2002-10,12.754,
2003-01,12.860,
2003-04,12.912,
2003-07,12.863,
2003-10,13.032,
2004-01,12.868,
2004-04,12.767,
2004-07,12.638,
2004-10,12.807,
2005-01,12.775,
2005-04,12.590,
2005-07,12.899,
2005-10,12.904,
2006-01,12.608,
2006-04,12.293,
2006-07,11.943,
2006-10,11.683,
2007-01,11.103,
2007-04,10.796,
2007-07,10.507,
2007-10,10.268,
2008-01,10.042,
2008-04,9.859,
2008-07,9.555,
2008-10,9.473,
2009-01,9.650,
2009-04,9.948,
2009-07,10.059,
2009-10,10.069,
2010-01,10.262,
2010-04,10.588,
2010-07,10.925,
2010-10,11.284,
2011-01,11.486,
2011-04,11.536,
2011-07,11.444,
2011-10,11.515,
2012-01,11.413,
2012-04,11.281,
2012-07,11.176,
2012-10,11.158,
2013-01,11.114,
2013-04,11.095,
2013-07,11.117,
2013-10,11.253,
2014-01,11.115,
2014-04,11.002,
2014-07,10.870,
