"",BBNZ1.Q.DE.N.H.0065.A,BBNZ1.Q.DE.N.H.0065.A_FLAGS
"","Germany / National accounts / Origin of GDP / Public services, education and health / Chain-linked index",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:28,
1991-01,74.39,
1991-04,73.08,
1991-07,76.57,
1991-10,76.44,
1992-01,78.97,
1992-04,77.11,
1992-07,79.98,
1992-10,78.27,
1993-01,79.97,
1993-04,78.32,
1993-07,80.37,
1993-10,78.50,
1994-01,81.39,
1994-04,79.97,
1994-07,82.68,
1994-10,81.04,
1995-01,82.86,
1995-04,81.29,
1995-07,84.03,
1995-10,83.37,
1996-01,85.19,
1996-04,83.72,
1996-07,86.19,
1996-10,84.71,
1997-01,86.82,
1997-04,85.40,
1997-07,87.93,
1997-10,86.23,
1998-01,88.07,
1998-04,85.85,
1998-07,88.53,
1998-10,87.09,
1999-01,89.35,
1999-04,87.05,
1999-07,89.61,
1999-10,88.34,
2000-01,90.80,
2000-04,88.71,
2000-07,91.02,
2000-10,89.45,
2001-01,91.21,
2001-04,88.83,
2001-07,91.43,
2001-10,90.13,
2002-01,92.69,
2002-04,90.40,
2002-07,93.35,
2002-10,91.90,
2003-01,93.08,
2003-04,90.57,
2003-07,93.58,
2003-10,91.84,
2004-01,93.31,
2004-04,90.75,
2004-07,93.39,
2004-10,91.55,
2005-01,93.49,
2005-04,91.25,
2005-07,93.90,
2005-10,91.72,
2006-01,94.41,
2006-04,91.60,
2006-07,94.10,
2006-10,91.70,
2007-01,95.57,
2007-04,92.76,
2007-07,95.26,
2007-10,92.21,
2008-01,97.76,
2008-04,95.10,
2008-07,98.03,
2008-10,95.32,
2009-01,99.02,
2009-04,96.16,
2009-07,99.58,
2009-10,97.84,
2010-01,101.78,
2010-04,98.05,
2010-07,101.24,
2010-10,98.92,
2011-01,102.93,
2011-04,99.18,
2011-07,102.27,
2011-10,100.11,
2012-01,103.93,
2012-04,100.15,
2012-07,103.24,
2012-10,101.26,
2013-01,103.38,
2013-04,100.13,
2013-07,103.20,
2013-10,101.55,
2014-01,105.10,
2014-04,101.14,
2014-07,104.06,
2014-10,102.89,
