"",BBK01.OEAD33U,BBK01.OEAD33U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:48,
2002-01,0.091,
2002-04,0.087,
2002-07,0.085,
2002-10,0.093,
2003-01,0.096,
2003-04,0.110,
2003-07,0.093,
2003-10,0.095,
2004-01,0.086,
2004-04,0.089,
2004-07,0.087,
2004-10,0.085,
2005-01,0.074,
2005-04,0.076,
2005-07,0.080,
2005-10,0.079,
2006-01,0.078,
2006-04,0.082,
2006-07,0.084,
2006-10,0.086,
2007-01,0.087,
2007-04,0.096,
2007-07,0.093,
2007-10,0.092,
2008-01,0.093,
2008-04,0.099,
2008-07,0.090,
2008-10,0.095,
2009-01,0.081,
2009-04,0.090,
2009-07,0.091,
2009-10,0.086,
2010-01,0.083,
2010-04,0.084,
2010-07,0.083,
2010-10,0.083,
2011-01,0.083,
2011-04,0.080,
2011-07,0.077,
2011-10,0.076,
2012-01,0.071,
2012-04,0.071,
2012-07,0.065,
2012-10,0.068,
2013-01,0.067,
2013-04,0.071,
2013-07,0.068,
2013-10,0.068,
2014-01,0.067,
2014-04,0.069,
2014-07,0.067,
