"",BBK01.OEXI10N,BBK01.OEXI10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:29,
2002-01,1.870,
2002-04,1.835,
2002-07,1.811,
2002-10,1.794,
2003-01,1.720,
2003-04,1.687,
2003-07,1.664,
2003-10,1.657,
2004-01,1.578,
2004-04,1.542,
2004-07,1.504,
2004-10,0.031,
2005-01,0.031,
2005-04,0.031,
2005-07,0.031,
2005-10,0.031,
2006-01,0.030,
2006-04,0.024,
2006-07,0.024,
2006-10,0.024,
2007-01,0.020,
2007-04,0.003,
2007-07,0.003,
2007-10,0.003,
2008-01,0.003,
2008-04,-,Nothing exists
2008-07,0.002,
2008-10,0.019,
2009-01,0.015,
2009-04,0.015,
2009-07,0.016,
2009-10,0.016,
2010-01,0.037,
2010-04,0.033,
2010-07,0.001,
2010-10,0.001,
2011-01,0.025,
2011-04,0.021,
2011-07,0.021,
2011-10,0.019,
2012-01,0.017,
2012-04,0.015,
2012-07,0.013,
2012-10,0.023,
2013-01,0.028,
2013-04,0.026,
2013-07,0.025,
2013-10,0.023,
2014-01,0.022,
2014-04,0.016,
2014-07,0.015,
