"",BBK01.OEXB07M,BBK01.OEXB07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:47,
2002-01,8.546,
2002-04,8.844,
2002-07,9.275,
2002-10,9.793,
2003-01,9.947,
2003-04,10.261,
2003-07,10.635,
2003-10,10.762,
2004-01,10.642,
2004-04,10.913,
2004-07,11.167,
2004-10,10.151,
2005-01,10.182,
2005-04,10.393,
2005-07,9.700,
2005-10,9.942,
2006-01,10.062,
2006-04,10.525,
2006-07,11.179,
2006-10,10.470,
2007-01,10.631,
2007-04,10.040,
2007-07,10.463,
2007-10,10.700,
2008-01,9.770,
2008-04,9.895,
2008-07,9.273,
2008-10,9.751,
2009-01,10.401,
2009-04,11.435,
2009-07,12.131,
2009-10,12.842,
2010-01,13.147,
2010-04,13.212,
2010-07,13.700,
2010-10,14.154,
2011-01,13.617,
2011-04,13.410,
2011-07,13.350,
2011-10,13.936,
2012-01,14.368,
2012-04,15.229,
2012-07,15.708,
2012-10,16.296,
2013-01,15.730,
2013-04,16.389,
2013-07,16.366,
2013-10,16.922,
2014-01,17.160,
2014-04,16.400,
2014-07,17.036,
