"",BBSF2.M.1.S.00000.IMM01.I.F.BGS.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.BGS.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Real estate funds / Developed properties / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:45,
2009-09,8371,
2009-10,8522,
2009-11,8493,
2009-12,8609,
2010-01,8639,
2010-02,8721,
2010-03,8724,
2010-04,8807,
2010-05,8723,
2010-06,8746,
2010-07,8655,
2010-08,8682,
2010-09,8614,
2010-10,8639,
2010-11,8643,
2010-12,8880,
2011-01,8865,
2011-02,8875,
2011-03,8722,
2011-04,8720,
2011-05,8696,
2011-06,8620,
2011-07,8629,
2011-08,8640,
2011-09,8525,
2011-10,8349,
2011-11,8396,
2011-12,8467,
2012-01,8409,
2012-02,8377,
2012-03,8398,
2012-04,8377,
2012-05,8289,
2012-06,8317,
2012-07,8279,
2012-08,8232,
2012-09,8208,
2012-10,8297,
2012-11,8256,
2012-12,8347,
2013-01,8179,
2013-02,8208,
2013-03,8237,
2013-04,8273,
2013-05,8220,
2013-06,7327,
2013-07,7224,
2013-08,7120,
2013-09,7057,
2013-10,7143,
2013-11,7082,
2013-12,7006,
2014-01,7026,
2014-02,7014,
2014-03,6992,
2014-04,6920,
2014-05,6901,
2014-06,6827,
2014-07,6691,
2014-08,6686,
2014-09,7369,
2014-10,7253,
2014-11,7100,
