"",BBK01.OEXJ05I,BBK01.OEXJ05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:48,
2002-01,1.433,
2002-04,1.391,
2002-07,1.407,
2002-10,1.407,
2003-01,1.359,
2003-04,1.315,
2003-07,1.284,
2003-10,1.280,
2004-01,1.264,
2004-04,1.184,
2004-07,1.158,
2004-10,1.151,
2005-01,1.369,
2005-04,1.426,
2005-07,1.657,
2005-10,0.990,
2006-01,1.109,
2006-04,1.030,
2006-07,0.964,
2006-10,0.973,
2007-01,0.979,
2007-04,0.981,
2007-07,1.000,
2007-10,0.976,
2008-01,0.965,
2008-04,0.974,
2008-07,0.972,
2008-10,0.971,
2009-01,0.986,
2009-04,0.996,
2009-07,1.023,
2009-10,0.998,
2010-01,1.004,
2010-04,1.010,
2010-07,1.007,
2010-10,3.795,
2011-01,4.363,
2011-04,4.358,
2011-07,4.600,
2011-10,4.780,
2012-01,4.952,
2012-04,4.964,
2012-07,5.002,
2012-10,5.055,
2013-01,5.097,
2013-04,5.114,
2013-07,5.144,
2013-10,5.251,
2014-01,5.319,
2014-04,5.496,
2014-07,5.479,
