"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U2.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U2.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Euro area (changing composition),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:06,
2009-09,414186,
2009-10,414364,
2009-11,420011,
2009-12,421038,
2010-01,430908,
2010-02,435304,
2010-03,440716,
2010-04,434936,
2010-05,436912,
2010-06,436747,
2010-07,440257,
2010-08,451034,
2010-09,447955,
2010-10,447064,
2010-11,437730,
2010-12,434767,
2011-01,428784,
2011-02,431757,
2011-03,430741,
2011-04,428475,
2011-05,430856,
2011-06,427450,
2011-07,431733,
2011-08,435057,
2011-09,432287,
2011-10,431265,
2011-11,421711,
2011-12,432367,
2012-01,432670,
2012-02,442331,
2012-03,444443,
2012-04,444687,
2012-05,449344,
2012-06,445440,
2012-07,454239,
2012-08,458823,
2012-09,460851,
2012-10,463995,
2012-11,469389,
2012-12,474361,
2013-01,474272,
2013-02,479981,
2013-03,484766,
2013-04,492752,
2013-05,490455,
2013-06,481653,
2013-07,486347,
2013-08,485687,
2013-09,486285,
2013-10,485797,
2013-11,485623,
2013-12,482442,
2014-01,493581,
2014-02,499681,
2014-03,506854,
2014-04,507555,
2014-05,514802,
2014-06,515867,
2014-07,519478,
2014-08,526376,
2014-09,524731,
2014-10,526150,
2014-11,531577,
