"",BBK01.OEAJ08K,BBK01.OEAJ08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:45,
2002-01,0.057,
2002-04,0.058,
2002-07,0.042,
2002-10,0.047,
2003-01,0.055,
2003-04,0.055,
2003-07,0.044,
2003-10,0.049,
2004-01,0.057,
2004-04,0.063,
2004-07,0.060,
2004-10,0.059,
2005-01,0.053,
2005-04,0.047,
2005-07,0.052,
2005-10,0.054,
2006-01,0.054,
2006-04,0.053,
2006-07,0.055,
2006-10,0.057,
2007-01,0.055,
2007-04,0.056,
2007-07,0.055,
2007-10,0.056,
2008-01,0.065,
2008-04,0.066,
2008-07,0.078,
2008-10,0.080,
2009-01,0.083,
2009-04,0.086,
2009-07,0.087,
2009-10,0.090,
2010-01,0.096,
2010-04,0.099,
2010-07,0.102,
2010-10,0.104,
2011-01,0.105,
2011-04,0.120,
2011-07,0.114,
2011-10,0.086,
2012-01,0.087,
2012-04,0.101,
2012-07,0.127,
2012-10,0.117,
2013-01,0.124,
2013-04,0.120,
2013-07,0.133,
2013-10,0.147,
2014-01,0.138,
2014-04,0.139,
2014-07,0.119,
