"",BBK01.OEAD12N,BBK01.OEAD12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:27,
2002-01,0.639,
2002-04,0.832,
2002-07,0.690,
2002-10,0.663,
2003-01,0.729,
2003-04,1.005,
2003-07,0.710,
2003-10,0.698,
2004-01,0.680,
2004-04,0.640,
2004-07,0.514,
2004-10,0.539,
2005-01,0.661,
2005-04,0.582,
2005-07,0.501,
2005-10,1.784,
2006-01,0.775,
2006-04,0.891,
2006-07,0.945,
2006-10,0.790,
2007-01,0.704,
2007-04,0.673,
2007-07,0.712,
2007-10,0.656,
2008-01,0.679,
2008-04,0.912,
2008-07,0.824,
2008-10,0.745,
2009-01,0.666,
2009-04,0.572,
2009-07,0.553,
2009-10,0.522,
2010-01,0.624,
2010-04,0.587,
2010-07,0.480,
2010-10,0.540,
2011-01,0.610,
2011-04,0.706,
2011-07,0.728,
2011-10,0.655,
2012-01,0.691,
2012-04,0.727,
2012-07,0.588,
2012-10,0.566,
2013-01,0.516,
2013-04,0.515,
2013-07,0.500,
2013-10,0.518,
2014-01,0.563,
2014-04,0.590,
2014-07,0.470,
