"",BBFB1.Q.N.DE.NL.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:15,
1991-01,-290.968,
1991-04,-251.745,
1991-07,-193.705,
1991-10,-158.333,
1992-01,-341.919,
1992-04,-318.427,
1992-07,-244.229,
1992-10,-304.182,
1993-01,-272.710,
1993-04,-222.730,
1993-07,-329.303,
1993-10,-214.501,
1994-01,-211.172,
1994-04,-339.617,
1994-07,-377.501,
1994-10,-238.492,
1995-01,-256.609,
1995-04,-171.022,
1995-07,-161.471,
1995-10,-116.944,
1996-01,-265.430,
1996-04,-360.073,
1996-07,-383.620,
1996-10,-269.463,
1997-01,-263.794,
1997-04,-249.249,
1997-07,-286.423,
1997-10,-217.685,
1998-01,-230.835,
1998-04,-50.746,
1998-07,-280.033,
1998-10,-142.940,
1999-01,-540.086,
1999-04,-223.935,
1999-07,-332.056,
1999-10,-194.519,
2000-01,-432.995,
2000-04,-301.298,
2000-07,-559.444,
2000-10,-324.628,
2001-01,-787.282,
2001-04,-444.785,
2001-07,-333.148,
2001-10,-362.625,
2002-01,-527.240,
2002-04,-707.223,
2002-07,-516.100,
2002-10,-447.421,
2003-01,-645.431,
2003-04,-786.295,
2003-07,-818.126,
2003-10,-580.592,
2004-01,-641.372,
2004-04,-707.352,
2004-07,-534.165,
2004-10,-284.761,
2005-01,-191.770,
2005-04,-219.724,
2005-07,-460.169,
2005-10,40.259,
2006-01,-215.442,
2006-04,-283.956,
2006-07,-242.579,
2006-10,-8.018,
2007-01,-246.749,
2007-04,-202.315,
2007-07,-45.064,
2007-10,90.435,
2008-01,-115.127,
2008-04,37.339,
2008-07,-140.157,
2008-10,62.298,
2009-01,14.785,
2009-04,-112.973,
2009-07,-96.602,
2009-10,76.784,
2010-01,3.426,
2010-04,-731.141,
2010-07,-260.525,
2010-10,-265.796,
2011-01,-103.585,
2011-04,-272.038,
2011-07,-208.313,
2011-10,-173.765,
2012-01,-213.390,
2012-04,-176.156,
2012-07,-356.819,
2012-10,-213.374,
2013-01,-642.363,
2013-04,-466.870,
2013-07,-665.541,
2013-10,245.075,
2014-01,-302.286,Provisional value
2014-04,-496.267,Provisional value
2014-07,-875.677,Provisional value
