"",BBK01.OELB14I,BBK01.OELB14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:33,
2002-01,0.364,
2002-04,0.372,
2002-07,0.378,
2002-10,0.367,
2003-01,0.354,
2003-04,0.371,
2003-07,0.340,
2003-10,0.352,
2004-01,0.347,
2004-04,0.363,
2004-07,0.356,
2004-10,0.301,
2005-01,0.331,
2005-04,0.326,
2005-07,0.328,
2005-10,0.304,
2006-01,0.305,
2006-04,0.295,
2006-07,0.268,
2006-10,0.257,
2007-01,0.242,
2007-04,0.251,
2007-07,0.244,
2007-10,0.252,
2008-01,0.241,
2008-04,0.234,
2008-07,0.237,
2008-10,0.250,
2009-01,0.248,
2009-04,0.249,
2009-07,0.244,
2009-10,0.226,
2010-01,0.220,
2010-04,0.213,
2010-07,0.208,
2010-10,0.199,
2011-01,0.192,
2011-04,0.187,
2011-07,0.187,
2011-10,0.188,
2012-01,0.199,
2012-04,0.205,
2012-07,0.194,
2012-10,0.204,
2013-01,0.197,
2013-04,0.187,
2013-07,0.175,
2013-10,0.177,
2014-01,0.176,
2014-04,0.165,
2014-07,0.154,
