"",BBK01.OEYM01J,BBK01.OEYM01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:32,
2002-01,0.305,
2002-04,0.255,
2002-07,0.301,
2002-10,0.290,
2003-01,0.303,
2003-04,0.435,
2003-07,0.244,
2003-10,0.292,
2004-01,0.406,
2004-04,0.466,
2004-07,0.698,
2004-10,0.448,
2005-01,0.758,
2005-04,0.812,
2005-07,0.894,
2005-10,1.144,
2006-01,0.870,
2006-04,1.221,
2006-07,1.057,
2006-10,0.950,
2007-01,0.686,
2007-04,0.646,
2007-07,1.246,
2007-10,0.690,
2008-01,0.646,
2008-04,0.995,
2008-07,1.584,
2008-10,1.203,
2009-01,0.913,
2009-04,1.000,
2009-07,0.652,
2009-10,0.737,
2010-01,0.965,
2010-04,1.631,
2010-07,1.177,
2010-10,1.075,
2011-01,1.275,
2011-04,1.610,
2011-07,1.095,
2011-10,1.186,
2012-01,1.414,
2012-04,1.610,
2012-07,1.257,
2012-10,1.337,
2013-01,1.373,
2013-04,1.512,
2013-07,1.454,
2013-10,1.318,
2014-01,1.235,
2014-04,1.152,
2014-07,1.138,
