"",BBK01.OEAH63T,BBK01.OEAH63T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:00,
2002-01,0.081,
2002-04,0.084,
2002-07,0.089,
2002-10,0.094,
2003-01,0.093,
2003-04,0.098,
2003-07,0.100,
2003-10,0.112,
2004-01,0.111,
2004-04,0.123,
2004-07,0.126,
2004-10,0.128,
2005-01,0.195,
2005-04,0.189,
2005-07,0.187,
2005-10,0.188,
2006-01,0.193,
2006-04,0.198,
2006-07,0.205,
2006-10,0.213,
2007-01,0.215,
2007-04,0.216,
2007-07,0.219,
2007-10,0.220,
2008-01,0.219,
2008-04,0.214,
2008-07,0.213,
2008-10,0.232,
2009-01,0.232,
2009-04,0.228,
2009-07,0.235,
2009-10,0.235,
2010-01,0.239,
2010-04,0.239,
2010-07,0.234,
2010-10,0.231,
2011-01,0.235,
2011-04,0.226,
2011-07,0.219,
2011-10,0.219,
2012-01,0.223,
2012-04,0.223,
2012-07,0.210,
2012-10,0.212,
2013-01,0.111,
2013-04,0.106,
2013-07,0.107,
2013-10,0.103,
2014-01,0.097,
2014-04,0.102,
2014-07,0.100,
