"",BBK01.OEAH85G,BBK01.OEAH85G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:37,
2002-01,54.059,
2002-04,50.615,
2002-07,52.635,
2002-10,48.951,
2003-01,46.921,
2003-04,47.307,
2003-07,46.877,
2003-10,44.949,
2004-01,39.931,
2004-04,37.926,
2004-07,36.400,
2004-10,35.348,
2005-01,31.189,
2005-04,32.070,
2005-07,31.587,
2005-10,33.628,
2006-01,31.588,
2006-04,29.823,
2006-07,30.204,
2006-10,29.187,
2007-01,31.191,
2007-04,31.655,
2007-07,32.754,
2007-10,30.942,
2008-01,26.147,
2008-04,28.138,
2008-07,31.803,
2008-10,27.687,
2009-01,27.419,
2009-04,28.630,
2009-07,29.379,
2009-10,25.759,
2010-01,27.113,
2010-04,28.987,
2010-07,31.113,
2010-10,27.296,
2011-01,28.307,
2011-04,27.602,
2011-07,29.584,
2011-10,25.895,
2012-01,26.578,
2012-04,26.835,
2012-07,27.734,
2012-10,26.149,
2013-01,25.108,
2013-04,23.993,
2013-07,23.745,
2013-10,24.292,
2014-01,24.445,
2014-04,25.730,
2014-07,27.242,
