"",BBK01.OEAC17H,BBK01.OEAC17H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:24,
2002-01,9.434,
2002-04,9.409,
2002-07,9.510,
2002-10,9.016,
2003-01,8.229,
2003-04,8.141,
2003-07,7.508,
2003-10,7.465,
2004-01,7.417,
2004-04,7.328,
2004-07,6.777,
2004-10,6.520,
2005-01,6.638,
2005-04,6.383,
2005-07,6.295,
2005-10,5.373,
2006-01,6.248,
2006-04,6.787,
2006-07,6.517,
2006-10,6.307,
2007-01,6.205,
2007-04,6.457,
2007-07,6.501,
2007-10,6.673,
2008-01,6.789,
2008-04,7.516,
2008-07,7.576,
2008-10,7.386,
2009-01,8.773,
2009-04,6.955,
2009-07,6.384,
2009-10,5.115,
2010-01,5.138,
2010-04,5.414,
2010-07,5.177,
2010-10,4.694,
2011-01,5.312,
2011-04,5.901,
2011-07,5.725,
2011-10,5.368,
2012-01,5.885,
2012-04,6.171,
2012-07,5.935,
2012-10,5.398,
2013-01,6.033,
2013-04,6.073,
2013-07,5.848,
2013-10,5.324,
2014-01,5.377,
2014-04,5.685,
2014-07,5.265,
