"",BBK01.CEL40C,BBK01.CEL40C_FLAGS
"",Loans                                                           debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:07,
1999-01,-0.5,
1999-04,-0.2,
1999-07,0.0,
1999-10,1.9,
2000-01,0.6,
2000-04,0.9,
2000-07,0.9,
2000-10,0.7,
2001-01,0.0,
2001-04,0.4,
2001-07,-0.7,
2001-10,0.9,
2002-01,-0.2,
2002-04,0.2,
2002-07,-0.6,
2002-10,0.7,
2003-01,-0.2,
2003-04,-1.0,
2003-07,-0.8,
2003-10,-1.7,
2004-01,0.6,
2004-04,-1.3,
2004-07,-4.9,
2004-10,-2.2,
2005-01,1.0,
2005-04,-2.8,
2005-07,-1.3,
2005-10,-5.0,
2006-01,-0.8,
2006-04,-0.4,
2006-07,-1.8,
2006-10,-1.3,
2007-01,-0.3,
2007-04,0.8,
2007-07,0.2,
2007-10,1.3,
2008-01,-2.3,
2008-04,3.5,
2008-07,-2.4,
2008-10,9.7,
2009-01,-2.1,
2009-04,3.9,
2009-07,3.4,
2009-10,-3.4,
2010-01,-0.1,
2010-04,26.3,
2010-07,-7.4,
2010-10,36.1,
2011-01,-10.2,
2011-04,14.7,
2011-07,-6.6,
2011-10,-5.7,
2012-01,6.9,
2012-04,30.4,
2012-07,3.1,
2012-10,12.0,
2013-01,-0.8,
2013-04,12.2,
2013-07,-16.0,
2013-10,5.1,
2014-01,-3.4,
2014-04,8.7,
2014-07,-7.6,
