"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.Z06.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations  / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:47,
1971-12,1.424,
1972-01,1.515,
1972-02,1.609,
1972-03,1.587,
1972-04,1.660,
1972-05,1.688,
1972-06,1.682,
1972-07,1.686,
1972-08,1.716,
1972-09,1.687,
1972-10,1.715,
1972-11,1.705,
1972-12,1.767,
1973-01,1.737,
1973-02,1.727,
1973-03,1.708,
1973-04,1.709,
1973-05,1.709,
1973-06,1.661,
1973-07,1.673,
1973-08,1.704,
1973-09,1.720,
1973-10,1.737,
1973-11,1.758,
1973-12,1.810,
1974-01,1.799,
1974-02,1.808,
1974-03,1.833,
1974-04,1.845,
1974-05,1.790,
1974-06,1.806,
1974-07,1.858,
1974-08,1.912,
1974-09,1.910,
1974-10,1.895,
1974-11,1.897,
1974-12,1.951,
1975-01,2.120,
1975-02,2.116,
1975-03,2.153,
1975-04,2.158,
1975-05,2.174,
1975-06,2.131,
1975-07,2.132,
1975-08,2.160,
1975-09,2.132,
1975-10,2.220,
1975-11,2.168,
1975-12,2.053,
1976-01,2.042,
1976-02,2.054,
1976-03,2.069,
1976-04,2.072,
1976-05,2.055,
1976-06,2.150,
1976-07,2.085,
1976-08,2.097,
1976-09,2.108,
1976-10,2.120,
1976-11,2.091,
1976-12,2.100,
1977-01,2.096,
1977-02,2.108,
1977-03,2.176,
1977-04,2.120,
1977-05,2.117,
1977-06,2.120,
1977-07,2.122,
1977-08,2.153,
1977-09,2.158,
1977-10,2.177,
1977-11,2.162,
1977-12,2.154,
1978-01,2.143,
1978-02,2.148,
1978-03,2.145,
1978-04,2.122,
1978-05,2.053,
1978-06,2.076,
1978-07,2.115,
1978-08,2.112,
1978-09,2.129,
1978-10,2.164,
1978-11,2.102,
1978-12,2.107,
1979-01,2.121,
1979-02,2.098,
1979-03,2.059,
1979-04,2.067,
1979-05,2.138,
1979-06,2.115,
1979-07,2.135,
1979-08,2.127,
1979-09,2.171,
1979-10,2.212,
1979-11,2.127,
1979-12,2.135,
1980-01,2.114,
1980-02,2.166,
1980-03,2.161,
1980-04,2.144,
1980-05,2.106,
1980-06,2.100,
1980-07,2.109,
1980-08,2.123,
1980-09,2.166,
1980-10,2.162,
1980-11,2.179,
1980-12,2.210,
1981-01,2.171,
1981-02,2.194,
1981-03,2.194,
1981-04,2.223,
1981-05,2.233,
1981-06,2.267,
1981-07,2.303,
1981-08,2.357,
1981-09,2.308,
1981-10,2.297,
1981-11,2.897,
1981-12,3.000,
1982-01,2.995,
1982-02,3.012,
1982-03,3.011,
1982-04,3.010,
1982-05,2.945,
1982-06,2.916,
1982-07,2.944,
1982-08,2.937,
1982-09,2.876,
1982-10,2.879,
1982-11,2.882,
1982-12,2.680,
1983-01,2.693,
1983-02,2.585,
1983-03,2.725,
1983-04,2.736,
1983-05,2.793,
1983-06,2.833,
1983-07,3.104,
1983-08,3.116,
1983-09,3.078,
1983-10,3.092,
1983-11,3.092,
1983-12,3.251,
1984-01,3.283,
1984-02,3.301,
1984-03,3.307,
1984-04,3.312,
1984-05,3.308,
1984-06,3.031,
1984-07,3.086,
1984-08,3.186,
1984-09,3.188,
1984-10,3.186,
1984-11,3.123,
1984-12,3.038,
1985-01,3.116,
1985-02,3.272,
1985-03,3.288,
1985-04,3.166,
1985-05,3.144,
1985-06,3.248,
1985-07,3.229,
1985-08,3.174,
1985-09,3.047,
1985-10,2.938,
1985-11,2.920,
1985-12,2.714,
1986-01,2.681,
1986-02,2.675,
1986-03,2.631,
1986-04,2.693,
1986-05,2.622,
1986-06,2.667,
1986-07,2.637,
1986-08,2.781,
1986-09,2.764,
1986-10,2.758,
1986-11,2.834,
1986-12,2.699,
1987-01,3.109,
1987-02,3.106,
1987-03,3.349,
1987-04,3.339,
1987-05,3.330,
1987-06,3.247,
1987-07,3.252,
1987-08,3.254,
1987-09,3.239,
1987-10,3.228,
1987-11,3.190,
1987-12,3.105,
1988-01,3.090,
1988-02,3.096,
1988-03,3.166,
1988-04,3.154,
1988-05,3.151,
1988-06,3.298,
1988-07,3.329,
1988-08,3.334,
1988-09,3.330,
1988-10,3.389,
1988-11,3.372,
1988-12,3.197,
1989-01,3.266,
1989-02,3.247,
1989-03,3.334,
1989-04,3.337,
1989-05,3.345,
1989-06,3.227,
1989-07,3.244,
1989-08,3.277,
1989-09,3.279,
1989-10,3.230,
1989-11,3.210,
1989-12,3.237,
1990-01,2.895,
1990-02,2.867,
1990-03,2.928,
1990-04,2.907,
1990-05,2.901,
1990-06,2.909,
1990-07,3.033,
1990-08,2.986,
1990-09,3.020,
1990-10,2.954,
1990-11,2.939,
1990-12,2.896,
1991-01,2.913,
1991-02,2.923,
1991-03,3.119,
1991-04,3.078,
1991-05,3.129,
1991-06,3.099,
1991-07,3.088,
1991-08,3.204,
1991-09,2.880,
1991-10,2.880,
1991-11,2.946,
1991-12,3.276,
1992-01,3.455,
1992-02,3.517,
1992-03,3.593,
1992-04,3.589,
1992-05,3.541,
1992-06,3.629,
1992-07,3.566,
1992-08,3.716,
1992-09,3.707,
1992-10,3.664,
1992-11,3.703,
1992-12,3.751,
1993-01,3.923,
1993-02,3.964,
1993-03,3.942,
1993-04,3.921,
1993-05,3.948,
1993-06,3.952,
1993-07,3.943,
1993-08,4.066,
1993-09,4.028,
1993-10,4.284,
1993-11,4.362,
1993-12,4.328,
1994-01,4.374,
1994-02,4.270,
1994-03,4.087,
1994-04,4.172,
1994-05,4.226,
1994-06,4.189,
1994-07,4.039,
1994-08,4.157,
1994-09,4.122,
1994-10,3.947,
1994-11,3.996,
1994-12,3.969,
1995-01,3.654,
1995-02,3.673,
1995-03,3.712,
1995-04,3.667,
1995-05,3.666,
1995-06,4.022,
1995-07,4.120,
1995-08,4.138,
1995-09,4.119,
1995-10,4.702,
1995-11,4.856,
1995-12,4.663,
1996-01,4.631,
1996-02,4.627,
1996-03,4.626,
