"",BBFB1.Q.N.DE.E1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:11,
1991-01,54751.377,
1991-04,55366.600,
1991-07,52338.985,
1991-10,56508.588,
1992-01,55830.765,
1992-04,54733.819,
1992-07,51417.235,
1992-10,55780.170,
1993-01,46278.915,
1993-04,46603.172,
1993-07,44603.878,
1993-10,48824.386,
1994-01,47625.754,
1994-04,51427.555,
1994-07,49978.514,
1994-10,55166.638,
1995-01,56074.379,
1995-04,57244.819,
1995-07,53851.097,
1995-10,57913.228,
1996-01,57737.603,
1996-04,58197.270,
1996-07,55889.727,
1996-10,63456.035,
1997-01,61785.775,
1997-04,64867.574,
1997-07,64626.047,
1997-10,70231.468,
1998-01,69274.090,
1998-04,71459.178,
1998-07,67358.880,
1998-10,71075.629,
1999-01,70188.660,
1999-04,74152.762,
1999-07,72912.944,
1999-10,78824.325,
2000-01,80065.065,
2000-04,83226.598,
2000-07,85395.009,
2000-10,98333.339,
2001-01,88400.658,
2001-04,91694.514,
2001-07,86040.633,
2001-10,88688.228,
2002-01,78874.365,
2002-04,86160.125,
2002-07,83145.751,
2002-10,90227.141,
2003-01,87487.256,
2003-04,88155.593,
2003-07,84091.618,
2003-10,94214.585,
2004-01,90404.978,
2004-04,93317.430,
2004-07,94184.990,
2004-10,102145.594,
2005-01,94844.841,
2005-04,103678.864,
2005-07,102522.807,
2005-10,113502.697,
2006-01,114792.643,
2006-04,119107.499,
2006-07,118753.602,
2006-10,127282.694,
2007-01,124277.090,
2007-04,128707.790,
2007-07,126427.510,
2007-10,133606.625,
2008-01,133644.570,
2008-04,138711.028,
2008-07,139370.734,
2008-10,130748.918,
2009-01,112965.265,
2009-04,106036.795,
2009-07,109054.663,
2009-10,114395.202,
2010-01,119008.889,
2010-04,130449.549,
2010-07,129322.481,
2010-10,139335.116,
2011-01,146955.033,
2011-04,153020.655,
2011-07,149476.115,
2011-10,154117.851,
2012-01,157335.637,
2012-04,155383.851,
2012-07,150689.149,
2012-10,155489.324,
2013-01,154383.831,
2013-04,155898.233,
2013-07,156924.767,
2013-10,161990.887,
2014-01,162300.040,Provisional value
2014-04,162532.363,Provisional value
2014-07,158920.038,Provisional value
